"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"96109099999","2020-01-01","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.8","12","  74.2","12","1012.4"," 8","008.8"," 8","  5.4","12","  4.2","12"," 14.0","999.9","  90.9"," ","  75.2"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-02","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  80.1","10","  76.2","10","1012.5"," 8","009.0"," 8","  5.0","10","  3.2","10","  8.9","999.9","  86.0"," ","  75.2"," "," 0.08","B","999.9","000000"
"96109099999","2020-01-03","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  79.9"," 8","  77.0"," 8","1011.0"," 8","007.4"," 8","  4.4"," 8","  2.7"," 8"," 12.0","999.9","  86.0"," ","  75.0"," "," 0.08","B","999.9","010000"
"96109099999","2020-01-04","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.1","12","  75.7","12","1009.5"," 7","005.9"," 7","  5.2","12","  4.4","12"," 12.0","999.9","  90.3","*","  75.2"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-05","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.3","16","  73.8","16","1009.9"," 6","006.3"," 6","  5.2","16","  3.1","16","  8.0","999.9","  91.8"," ","  74.7","*"," 0.00","I","999.9","000000"
"96109099999","2020-01-06","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.0","19","  75.2","19","1010.6"," 4","006.9"," 4","  5.2","19","  3.8","19","  9.9","999.9","  90.7"," ","  74.1"," "," 0.00","B","999.9","010000"
"96109099999","2020-01-07","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.1","16","  74.9","16","1009.1"," 6","005.5"," 6","  5.4","16","  5.1","16"," 13.0","999.9","  91.4"," ","  73.9"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-08","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  81.7","20","  76.8","20","1008.4"," 4","004.7"," 4","  5.0","20","  2.6","20","  9.9","999.9","  90.0"," ","  74.8"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-09","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.2","21","  75.9","21","1008.4"," 5","004.7"," 5","  5.1","21","  3.7","21","  9.9","999.9","  89.6","*","  75.2","*"," 0.02","C","999.9","010000"
"96109099999","2020-01-10","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.9","19","  75.1","19","1009.1"," 6","005.5"," 6","  5.3","19","  3.9","19","  9.9","999.9","  91.4"," ","  75.2","*"," 0.00","I","999.9","000000"
"96109099999","2020-01-11","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.2","19","  74.9","19","1008.6"," 5","005.0"," 5","  5.2","19","  4.0","19","  9.9","999.9","  92.1"," ","  75.2","*"," 0.20","A","999.9","010010"
"96109099999","2020-01-12","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  81.0","21","  75.9","21","1007.3"," 5","003.6"," 5","  5.5","21","  4.1","21"," 17.1","999.9","  89.6"," ","  75.2","*"," 0.00","I","999.9","000010"
"96109099999","2020-01-13","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.0","19","  76.2","19","9999.9"," 0","999.9"," 0","  4.8","19","  3.3","19","  8.0","999.9","  90.3"," ","  74.5"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-14","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  81.3","19","  76.5","19","9999.9"," 0","999.9"," 0","  4.6","19","  2.0","19","  6.0","999.9","  86.4"," ","  74.5"," "," 0.00","A","999.9","000000"
"96109099999","2020-01-15","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.8","23","  75.1","23","9999.9"," 0","999.9"," 0","  5.2","23","  2.8","23","  7.0","999.9","  92.5"," ","  75.6"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-16","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.2","23","  76.5","23","9999.9"," 0","999.9"," 0","  4.9","23","  0.9","23","  7.0","999.9","  87.8"," ","  75.6"," "," 0.00","I","999.9","000000"
"96109099999","2020-01-17","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.7","15","  77.1","15","1009.5"," 6","005.9"," 6","  4.3","15","  3.5","15","  8.0","999.9","  91.9"," ","  76.3"," "," 0.00","I","999.9","000010"
"96109099999","2020-01-18","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  82.5"," 9","  75.9"," 9","1009.6"," 8","005.9"," 8","  4.7"," 9","  4.7"," 9","  9.9","999.9","  92.8"," ","  76.3"," ","99.99"," ","999.9","010000"
"96109099999","2020-01-19","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.0"," 9","  76.9"," 9","1009.8"," 7","006.2"," 7","  5.1"," 9","  1.8"," 9","  8.0","999.9","  90.5"," ","  72.0"," ","99.99"," ","999.9","010000"
"96109099999","2020-01-20","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  79.7"," 8","  77.2"," 8","1011.2"," 8","007.6"," 8","  4.4"," 8","  4.9"," 8"," 18.1","999.9","  88.2"," ","  74.1"," "," 0.04","A","999.9","010010"
"96109099999","2020-01-21","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  78.5","19","  77.3","19","9999.9"," 0","999.9"," 0","  4.2","19","  1.9","19","  9.9","999.9","  83.5"," ","  74.8"," "," 0.35","C","999.9","010000"
"96109099999","2020-01-22","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  81.1","20","  77.1","20","1010.1"," 5","006.5"," 5","  4.8","20","  2.5","20","  8.9","999.9","  88.7"," ","  75.2"," ","99.99"," ","999.9","010000"
"96109099999","2020-01-23","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  81.0","16","  78.2","16","1009.7"," 5","006.0"," 5","  4.6","16","  1.2","16","  8.0","999.9","  90.3"," ","  75.9"," "," 0.00","B","999.9","010000"
"96109099999","2020-01-24","0.461169","101.444642","31.08","SULTAN SYARIF KASIM II, ID","  83.2","21","  76.9","21","9999.9"," 0","999.9"," 0","  4.9","21","  3.2","21"," 13.0","999.9","  90.7"," ","  75.2","*"," 0.00","B","999.9","010000"
