"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"06464099999","2019-01-01","51.2166666","5.0333333","21.0","RETIE, BE","  44.9","24","  42.1","24","1032.0","24","029.1","24","999.9"," 0","  6.0","24","  8.2"," 18.5","  47.5","*","  41.4","*"," 0.06","F","999.9","000000"
"06464099999","2019-01-02","51.2166666","5.0333333","21.0","RETIE, BE","  40.9","24","  34.2","24","1038.2","24","035.3","24","999.9"," 0","  4.4","24","  8.7"," 16.7","  43.2","*","  38.5"," "," 0.02","E","999.9","000000"
"06464099999","2019-01-03","51.2166666","5.0333333","21.0","RETIE, BE","  39.3","24","  35.8","24","1040.6","24","037.7","24","999.9"," 0","  2.5","24","  4.7","999.9","  43.2","*","  34.2","*"," 0.00","I","999.9","000000"
"06464099999","2019-01-04","51.2166666","5.0333333","21.0","RETIE, BE","  38.1","24","  36.3","24","1038.9","24","036.0","24","999.9"," 0","  3.1","24","  5.8"," 13.0","  39.9","*","  34.2"," "," 0.01","F","999.9","000000"
"06464099999","2019-01-05","51.2166666","5.0333333","21.0","RETIE, BE","  42.9","24","  41.5","24","1034.4","24","031.4","24","999.9"," 0","  4.4","24","  5.8"," 13.4","  44.4","*","  36.9"," "," 0.03","F","999.9","000000"
"06464099999","2019-01-06","51.2166666","5.0333333","21.0","RETIE, BE","  40.5","24","  39.6","24","1034.9","24","032.0","24","999.9"," 0","  2.8","24","  6.6"," 13.4","  42.1","*","  39.4","*"," 0.04","F","999.9","000000"
"06464099999","2019-01-07","51.2166666","5.0333333","21.0","RETIE, BE","  42.9","24","  42.2","24","1031.3","24","028.4","24","999.9"," 0","  5.3","24"," 10.9"," 18.6","  48.6","*","  35.6"," "," 0.02","E","999.9","000000"
"06464099999","2019-01-08","51.2166666","5.0333333","21.0","RETIE, BE","  44.4","24","  39.4","24","1020.4","24","017.5","24","999.9"," 0","  8.4","24"," 11.7"," 31.1","  49.1","*","  41.9","*"," 0.15","F","999.9","000000"
"06464099999","2019-01-09","51.2166666","5.0333333","21.0","RETIE, BE","  39.4","24","  33.9","24","1022.0","24","019.1","24","999.9"," 0","  6.2","24"," 10.5"," 25.8","  44.4"," ","  34.9","*"," 0.03","E","999.9","000000"
"06464099999","2019-01-10","51.2166666","5.0333333","21.0","RETIE, BE","  35.6","24","  32.7","24","1028.0","24","025.0","24","999.9"," 0","  2.8","24","  4.3","999.9","  40.1","*","  30.9"," "," 0.00","I","999.9","000000"
"06464099999","2019-01-11","51.2166666","5.0333333","21.0","RETIE, BE","  41.7","24","  41.2","24","1026.2","24","023.4","24","999.9"," 0","  4.0","24","  5.8"," 13.0","  46.2","*","  35.4"," "," 0.17","F","999.9","000000"
"06464099999","2019-01-12","51.2166666","5.0333333","21.0","RETIE, BE","  44.3","24","  42.6","24","1020.3","24","017.5","24","999.9"," 0","  7.2","24"," 10.5"," 21.4","  46.6","*","  42.3"," "," 0.18","F","999.9","000000"
"06464099999","2019-01-13","51.2166666","5.0333333","21.0","RETIE, BE","  47.7","24","  45.7","24","1009.3","24","006.5","24","999.9"," 0","  8.2","24"," 11.3"," 28.9","  50.0","*","  45.1"," "," 0.35","F","999.9","000000"
"06464099999","2019-01-14","51.2166666","5.0333333","21.0","RETIE, BE","  42.3","24","  38.1","24","1016.2","24","013.3","24","999.9"," 0","  5.4","24"," 10.1"," 23.9","  45.7","*","  37.6","*"," 0.06","F","999.9","000000"
"06464099999","2019-01-15","51.2166666","5.0333333","21.0","RETIE, BE","  42.3","24","  39.2","24","1019.6","24","016.8","24","999.9"," 0","  7.2","24"," 10.1"," 20.0","  45.0","*","  36.0"," "," 0.02","E","999.9","000000"
"06464099999","2019-01-16","51.2166666","5.0333333","21.0","RETIE, BE","  43.0","24","  38.4","24","1009.6","24","006.8","24","999.9"," 0","  8.6","24"," 11.3"," 21.8","  44.1","*","  41.2","*"," 0.00","I","999.9","000000"
