"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72063500221","2019-01-01","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  14.9","24","   9.6","24","9999.9"," 0","789.2","24","  7.8","24","  5.3","24"," 14.0"," 15.9","  21.2","*","   3.2","*","99.99"," ","999.9","101000"
"72063500221","2019-01-02","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  14.5","24","   3.2","24","9999.9"," 0","793.5","24"," 10.0","24"," 12.7","24"," 22.9"," 28.0","  26.6","*","   8.6","*","99.99"," ","999.9","001000"
"72063500221","2019-01-03","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  20.3","24","   2.1","24","9999.9"," 0","798.0","24"," 10.0","24","  5.4","24"," 12.0","999.9","  46.4","*","   5.0","*"," 0.00","I","999.9","000000"
"72063500221","2019-01-04","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  35.7","24","  15.0","24","9999.9"," 0","797.9","24"," 10.0","24","  7.1","24"," 11.1"," 12.0","  57.2","*","  23.0","*"," 0.00","I","999.9","000000"
"72063500221","2019-01-05","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  39.5","24","  16.6","24","9999.9"," 0","796.1","24"," 10.0","24","  9.1","24"," 15.9"," 20.0","  50.0","*","  32.0","*"," 0.00","I","999.9","000000"
"72063500221","2019-01-06","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  34.0","24","  28.8","24","9999.9"," 0","792.6","24","  3.8","24"," 10.0","24"," 17.1"," 25.1","  41.0","*","  30.2","*","99.99"," ","999.9","011000"
"72063500221","2019-01-07","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  30.9","24","  25.4","24","9999.9"," 0","797.5","24"," 10.0","24","  6.9","24"," 15.9"," 22.9","  37.4","*","  24.8","*"," 0.00","I","999.9","000000"
"72063500221","2019-01-08","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  34.9","24","  27.1","24","9999.9"," 0","801.1","24","  9.3","24","  8.0","24"," 15.0"," 20.0","  48.2","*","  24.8","*"," 0.00","I","999.9","100000"
"72063500221","2019-01-09","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  40.6","24","  25.7","24","9999.9"," 0","800.8","24"," 10.0","24","  8.7","24"," 14.0"," 17.1","  53.6","*","  33.8","*"," 0.00","I","999.9","000000"
"72063500221","2019-01-10","35.3","-112.2","2035.1","H A CLARK MEMORIAL FIELD AIRPORT, AZ US","  39.3","24","  28.9","24","9999.9"," 0","798.6","21"," 10.0","24","  6.6","24"," 12.0"," 15.9","  51.8","*","  32.0","*"," 0.00","I","999.9","000000"
