"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"12870099999","2019-01-01","47.9","20.3833333","218.0","EGER, HU","  33.3","24","  29.1","24","1023.9","24","995.4","24"," 10.1","10","  4.6","24","  7.8","999.9","  36.9","*","  27.5","*"," 0.00","G","999.9","011000"
"12870099999","2019-01-02","47.9","20.3833333","218.0","EGER, HU","  35.7","24","  27.1","24","1012.8","24","984.8","24"," 16.2","10","  5.9","24","  9.7","999.9","  38.5"," ","  32.2","*"," 0.01","G","999.9","000000"
"12870099999","2019-01-03","47.9","20.3833333","218.0","EGER, HU","  28.9","24","  18.3","24","1022.2","24","993.5","24"," 17.3","10","  4.6","23","  9.7"," 17.5","  33.1"," ","  24.1","*"," 0.00","G","999.9","000000"
"12870099999","2019-01-04","47.9","20.3833333","218.0","EGER, HU","  25.4","24","  18.4","24","1027.2","24","998.1","24"," 14.5","10","  2.6","20","  3.9","999.9","  30.2"," ","  21.2","*"," 0.00","I","999.9","000000"
"12870099999","2019-01-05","47.9","20.3833333","218.0","EGER, HU","  26.3","24","  24.4","24","1017.2","24","988.5","24","  1.7","10","  3.1","18","  5.8","999.9","  29.3"," ","  20.5"," "," 0.02","G","999.9","001000"
"12870099999","2019-01-06","47.9","20.3833333","218.0","EGER, HU","  25.8","24","  21.2","24","1019.1","24","990.3","24","  9.6","10","  4.1","22","  7.8","999.9","  36.9"," ","  21.4"," "," 0.22","G","999.9","001000"
"12870099999","2019-01-07","47.9","20.3833333","218.0","EGER, HU","  21.0","24","  11.6","24","1029.0","24","999.7","24"," 15.5","10","  3.6","24","  5.8","999.9","  30.7"," ","  13.5","*"," 0.00","G","999.9","000000"
"12870099999","2019-01-08","47.9","20.3833333","218.0","EGER, HU","  19.5","24","  16.3","24","1017.4","24","988.3","24","  3.2","10","  4.4","22","  7.8","999.9","  21.9","*","  12.9"," "," 0.08","E","999.9","001000"
"12870099999","2019-01-09","47.9","20.3833333","218.0","EGER, HU","  24.3","24","  21.6","24","1006.8","24","978.2","24","  3.1","10","  2.5","22","  3.9","999.9","  28.4"," ","  20.1"," "," 0.02","E","999.9","000000"
"12870099999","2019-01-10","47.9","20.3833333","218.0","EGER, HU","  27.6","24","  21.7","24","1012.6","24","984.1","24","  9.6","10","  4.4","24","  9.7","999.9","  37.2"," ","  15.1"," "," 0.00","I","999.9","000000"
