"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"02942099999","2019-01-01","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  31.1"," 9","  30.1"," 7"," 986.7"," 9","971.8"," 9","  1.1"," 9","  8.1"," 9"," 21.4","999.9","  33.1"," ","  26.2","*"," 0.31","F","  0.4","011000"
"02942099999","2019-01-02","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  20.9"," 9","  17.4"," 9","1013.7"," 9","998.1"," 9"," 18.4"," 9"," 12.3"," 9"," 21.4","999.9","  31.6"," ","  15.4","*"," 0.12","E","  4.3","001000"
"02942099999","2019-01-03","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  13.2"," 9","  10.1"," 9","1025.1"," 9","009.1"," 9"," 17.4"," 9","  5.2"," 9","  9.7","999.9","  23.5","*","   6.3"," "," 0.00","E","  4.3","001000"
"02942099999","2019-01-04","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  28.1"," 9","  27.3"," 9","1010.5"," 9","995.2"," 9","  9.1"," 9","  5.0"," 9","  7.8","999.9","  31.8"," ","  12.2"," "," 0.12","E","  4.7","111000"
"02942099999","2019-01-05","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  23.1"," 9","  22.0"," 9","1019.8"," 9","004.2"," 9"," 22.1"," 9","  3.0"," 9","  7.8","999.9","  31.5"," ","  19.0"," "," 0.00","E","  4.7","000000"
"02942099999","2019-01-06","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  28.3"," 9","  27.8"," 9","1018.9"," 9","003.5"," 9","  8.4"," 9","  4.9"," 9","  6.4","999.9","  32.9","*","  21.0"," "," 0.00","E","999.9","111000"
"02942099999","2019-01-07","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  31.2"," 9","  30.9"," 9","1011.4"," 9","996.2"," 9","  7.5"," 9","  3.5"," 9","  4.3","999.9","  35.1"," ","  28.9","*"," 0.00","E","  4.7","100000"
"02942099999","2019-01-08","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  28.2"," 9","  27.7"," 9","1002.4"," 9","987.2"," 9"," 12.0"," 9","  4.0"," 9","  5.8","999.9","  29.8"," ","  24.8","*"," 0.06","F","999.9","101000"
"02942099999","2019-01-09","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  24.5"," 9","  23.0"," 9","1012.8"," 9","997.4"," 9"," 19.5"," 9","  5.7"," 9"," 10.3","999.9","  28.9"," ","  22.3","*"," 0.00","E","  5.1","001000"
"02942099999","2019-01-10","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  23.0"," 9","  21.8"," 9","1012.5"," 9","997.1"," 9"," 10.9"," 9","  6.0"," 9"," 10.7","999.9","  31.3","*","  18.5"," "," 0.00","E","999.9","001000"
"02942099999","2019-01-11","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  33.3"," 9","  28.2"," 9"," 991.7"," 9","976.8"," 9"," 20.0"," 9"," 10.7"," 9"," 15.5","999.9","  36.9"," ","  24.4"," "," 0.03","E","  4.7","000000"
"02942099999","2019-01-12","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  24.8"," 9","  19.7"," 9"," 992.4"," 9","977.3"," 9"," 24.9"," 9","  5.2"," 9","  9.7","999.9","  36.7"," ","  16.0","*"," 0.00","E","  4.7","000000"
"02942099999","2019-01-13","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  23.6"," 9","  21.9"," 9"," 981.0"," 9","966.1"," 9"," 14.1"," 9","  5.5"," 9","  8.2","999.9","  29.3","*","  14.9"," "," 0.04","E","999.9","001000"
"02942099999","2019-01-14","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  24.5"," 8","  21.9"," 8"," 975.0"," 8","960.1"," 8"," 18.7"," 8","  3.8"," 8","  7.8","999.9","  29.3"," ","  20.8","*"," 0.02","F","  6.3","001000"
"02942099999","2019-01-15","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  22.4"," 9","  18.8"," 9"," 987.6"," 9","972.5"," 9"," 23.1"," 9","  8.1"," 9","  9.7","999.9","  25.2"," ","  19.2"," "," 0.00","F","  6.7","001000"
"02942099999","2019-01-16","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  16.9"," 9","  14.1"," 9"," 993.3"," 9","977.9"," 9"," 22.1"," 9","  5.0"," 9","  7.8","999.9","  23.9"," ","  14.4"," "," 0.00","E","  6.7","001000"
"02942099999","2019-01-17","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  15.8"," 9","  12.1"," 9"," 987.2"," 9","971.9"," 9","  8.6"," 9","  6.5"," 9"," 11.7","999.9","  20.8"," ","  11.7","*"," 0.12","F","999.9","001000"
"02942099999","2019-01-18","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","   8.3"," 9","   5.4"," 9"," 997.7"," 9","981.9"," 9"," 18.3"," 9","  1.3"," 9","  3.9","999.9","  16.7"," ","   1.9"," "," 0.00","F","  7.9","001000"
"02942099999","2019-01-19","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  16.3"," 9","  14.2"," 9","1001.2"," 9","985.7"," 9"," 18.3"," 9","  2.9"," 8","  8.9","999.9","  24.6"," ","   1.6"," "," 0.04","F","999.9","001000"
"02942099999","2019-01-20","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  12.9"," 9","  10.4"," 9","1008.3"," 9","992.6"," 9"," 13.8"," 9","  5.0"," 9","  9.7","999.9","  24.4"," ","   0.5","*"," 0.08","F","999.9","001000"
"02942099999","2019-01-21","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  -2.1"," 9","  -5.0"," 9","1016.3"," 9","999.9"," 9"," 23.5"," 9","  1.1"," 9","  2.5","999.9","  14.0"," ","  -9.6"," "," 0.00","F","  9.8","001000"
"02942099999","2019-01-22","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  12.8"," 9","  10.3"," 9","1012.9"," 9","997.0"," 9"," 10.4"," 9","  3.6"," 9","  7.8","999.9","  21.4","*"," -11.2"," "," 0.04","F","999.9","001000"
"02942099999","2019-01-23","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  24.0"," 9","  22.7"," 9","1008.8"," 9","993.4"," 9","  4.9"," 9","  3.4"," 9","  5.8","999.9","  26.6"," ","  20.3"," "," 0.04","F","999.9","001000"
"02942099999","2019-01-24","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  13.4"," 9","  11.2"," 9","1018.6"," 9","002.7"," 9"," 13.3"," 9","  4.8"," 9","  5.8","999.9","  25.2"," ","   7.9"," "," 0.04","F","999.9","001000"
"02942099999","2019-01-25","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  22.3"," 9","  21.0"," 9","1016.7"," 9","001.1"," 9","  5.9"," 9","  3.6"," 9","  5.8","999.9","  25.0"," ","  13.1"," "," 0.04","F","999.9","001000"
"02942099999","2019-01-26","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  14.9"," 9","  11.8"," 9","1008.3"," 9","992.7"," 9"," 11.0"," 9","  3.9"," 9","  6.2","999.9","  25.2"," ","   4.1","*"," 0.04","F","999.9","001000"
"02942099999","2019-01-27","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  -3.3"," 9","  -7.1"," 9","1006.8"," 9","990.6"," 9"," 23.8"," 9","  4.2"," 9","  6.4","999.9","  12.6"," ","  -9.4"," "," 0.00","E"," 11.0","000000"
"02942099999","2019-01-28","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","   6.5"," 9","   3.2"," 9","1003.0"," 9","987.1"," 9","  8.4"," 9","  6.7"," 9","  8.4","999.9","  13.3","*","  -6.2"," "," 0.16","F","999.9","001000"
"02942099999","2019-01-29","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  19.2"," 9","  17.1"," 9"," 997.8"," 9","982.4"," 9","  4.5"," 9","  5.7"," 9","  7.8","999.9","  22.6"," ","  10.8"," "," 0.16","F","999.9","001000"
"02942099999","2019-01-30","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  13.2"," 9","  10.4"," 9","1004.5"," 9","988.8"," 9","  7.7"," 9","  1.4"," 9","  3.9","999.9","  21.7"," ","  -1.8","*"," 0.09","F","999.9","001000"
"02942099999","2019-01-31","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  12.4"," 9","   9.8"," 9","1014.8"," 9","998.9"," 9","  8.6"," 9","  2.8"," 9","  4.1","999.9","  17.4"," ","  -2.2"," "," 0.00","E"," 13.8","001000"
"02942099999","2019-02-01","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  15.6"," 9","  13.5"," 9","1018.4"," 9","002.6"," 9"," 12.6"," 9","  4.9"," 9","  8.0","999.9","  23.0"," ","   7.2"," "," 0.00","E","999.9","001000"
"02942099999","2019-02-02","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  15.3"," 9","  13.3"," 9","1016.2"," 9","000.4"," 9","  5.9"," 9","  8.3"," 9"," 10.3","999.9","  18.9"," ","   6.8"," "," 0.06","F"," 14.2","001000"
"02942099999","2019-02-03","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  18.7"," 9","  17.0"," 9","1008.1"," 9","992.6"," 9","  5.4"," 9","  9.2"," 9"," 11.7","999.9","  23.9","*","  15.1"," "," 0.59","F","  0.4","001000"
"02942099999","2019-02-04","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  19.4"," 9","  17.7"," 9","1013.5"," 9","997.9"," 9","  8.8"," 9","  4.5"," 9","  7.8","999.9","  24.1"," ","  15.4"," "," 0.05","F","999.9","001000"
"02942099999","2019-02-05","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  20.2"," 9","  18.8"," 9","1013.4"," 9","997.8"," 9","  2.0"," 9","  3.9"," 9","  7.8","999.9","  26.1"," ","  10.4","*"," 0.20","F","999.9","001000"
"02942099999","2019-02-06","61.8333333","22.4666666","124.8","KANKAANPAA NIINISALO PUOLVOIM, FI","  12.4"," 9","  10.3"," 9","1015.8"," 9","999.9"," 9"," 15.1"," 9","  4.1"," 9","  7.2","999.9","  23.0","*","  -5.1"," "," 0.03","E"," 20.5","001000"
