"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01492099999","2019-01-01","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  40.5","24","  25.2","24","1001.1","24","989.3","24"," 32.9","24"," 11.7","24"," 21.4","999.9","  45.1"," ","  35.2"," "," 0.00","G","  3.5","110000"
"01492099999","2019-01-02","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  33.8","24","  16.1","24","1029.6","24","017.3","24"," 33.7","24","  6.6","24"," 13.6","999.9","  36.7"," ","  28.6","*"," 0.00","G","  3.1","000000"
"01492099999","2019-01-03","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  33.9","24","  23.8","24","1031.2","24","019.0","24"," 33.4","24","  3.5","21"," 11.7","999.9","  37.4"," ","  30.0","*"," 0.00","G","999.9","000000"
"01492099999","2019-01-04","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  36.2","24","  30.1","24","1020.2","24","008.1","24"," 32.9","24","  2.8","24","  9.7","999.9","  45.9","*","  30.0"," "," 0.00","G","  3.1","000000"
"01492099999","2019-01-05","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  37.9","24","  31.1","24","1023.0","24","010.9","24"," 31.3","24","  4.0","22","  7.8","999.9","  50.2","*","  28.9","*"," 0.00","G","  3.1","000000"
"01492099999","2019-01-06","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  30.3","23","  29.0","23","1024.9","23","012.6","23"," 11.7","23","  2.3","20","  3.9","999.9","  33.4"," ","  27.7"," "," 0.00","G","  3.1","101000"
"01492099999","2019-01-07","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  30.2","21","  29.4","21","1014.2","21","002.1","21","  2.4","21","  3.5","17","  7.8","999.9","  32.0","*","  28.0","*"," 0.00","G","  3.1","111000"
"01492099999","2019-01-08","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  34.4","23","  27.0","23","1003.2","23","991.3","23"," 25.8","23","  9.6","23"," 15.5","999.9","  36.5"," ","  31.1","*"," 0.16","E","999.9","011000"
"01492099999","2019-01-09","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  32.5","24","  20.4","24","1021.2","24","009.1","24"," 34.0","24","  7.7","23"," 15.5","999.9","  36.3"," ","  27.3","*"," 0.00","F","  5.9","000000"
"01492099999","2019-01-10","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  28.2","24","  23.9","24","1016.9","24","004.6","24"," 29.9","24","  2.7","19","  3.9","999.9","  33.3"," ","  24.6"," "," 0.00","G","  5.9","001000"
"01492099999","2019-01-11","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  31.4","24","  22.9","24","1008.5","24","996.4","24"," 28.2","24","  3.9","23"," 11.7","999.9","  43.2"," ","  25.3"," "," 0.00","G","  5.5","000000"
"01492099999","2019-01-12","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  24.3","24","  18.0","24","1000.9","24","988.8","24"," 29.9","24","  2.8","21","  3.9","999.9","  29.3"," ","  19.0","*"," 0.00","G","  5.5","000000"
"01492099999","2019-01-13","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  25.7","24","  19.0","24"," 984.4","24","972.5","24"," 23.6","24","  3.6","21","  7.8","999.9","  32.5"," ","  18.5"," "," 0.00","G","  5.5","101000"
"01492099999","2019-01-14","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  32.2","24","  12.7","24"," 993.1","24","981.3","24"," 33.7","24"," 12.0","24"," 21.4","999.9","  36.7"," ","  24.1"," "," 0.00","G","  5.5","001000"
"01492099999","2019-01-15","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  24.9","24","  18.7","24"," 997.1","24","985.0","24"," 27.8","24","  4.3","24","  7.8","999.9","  30.7","*","  18.7","*"," 0.00","G","  5.5","001000"
"01492099999","2019-01-16","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  22.0","23","  18.8","23"," 989.5","23","977.4","23"," 16.8","23","  5.5","23","  7.8","999.9","  26.4"," ","  16.2","*"," 0.09","G","  7.1","011000"
"01492099999","2019-01-17","59.95","10.7166666","97.0","OSLO BLINDERN, NO","  20.4","24","  13.9","24"," 995.2","24","983.0","24"," 32.8","24","  4.7","23"," 11.7","999.9","  27.1"," ","  14.9"," "," 0.23","G","  9.1","000000"
