"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01055099999","2019-01-01","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  28.0","24","  20.5","24","1000.7","24","998.9","24","999.9"," 0"," 27.6","24"," 38.9","999.9","  31.8"," ","  24.6","*"," 0.00","I","999.9","000000"
"01055099999","2019-01-02","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  27.5","24","  15.0","24","1017.1","24","015.3","24","999.9"," 0"," 18.6","24"," 27.2","999.9","  30.2","*","  23.9"," "," 0.00","I","999.9","000000"
"01055099999","2019-01-03","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  32.7","24","  28.9","24","1005.3","24","003.5","24","999.9"," 0"," 20.9","24"," 29.1","999.9","  40.5"," ","  27.9"," "," 0.00","I","999.9","000000"
"01055099999","2019-01-04","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  37.7","24","  33.1","24","1007.6","24","005.8","24","999.9"," 0"," 14.2","24"," 23.3","999.9","  39.6"," ","  34.9","*"," 0.00","I","999.9","000000"
"01055099999","2019-01-05","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  39.8","24","  37.0","24","1010.3","24","008.6","24","999.9"," 0"," 21.4","24"," 29.1","999.9","  42.1","*","  34.5"," "," 0.00","I","999.9","000000"
"01055099999","2019-01-06","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  42.1","24","  38.5","24","1000.8","24","999.1","24","999.9"," 0"," 31.6","24"," 36.9","999.9","  43.9"," ","  39.0","*"," 0.00","I","999.9","000000"
"01055099999","2019-01-07","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  34.7","24","  31.5","24"," 990.9","24","989.2","24","999.9"," 0"," 24.4","24"," 35.0","999.9","  40.1","*","  30.9","*"," 0.00","I","999.9","000000"
"01055099999","2019-01-08","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  34.2","24","  31.0","24"," 994.3","24","992.5","24","999.9"," 0"," 14.3","23"," 27.2","999.9","  37.8"," ","  30.9"," "," 0.00","I","999.9","000000"
"01055099999","2019-01-09","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  34.6","24","  30.8","24","1008.5","24","006.7","24","999.9"," 0"," 15.5","23"," 29.1","999.9","  37.2"," ","  32.2","*"," 0.00","I","999.9","000000"
"01055099999","2019-01-10","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  34.0","24","  30.0","24"," 978.0","24","976.3","24","999.9"," 0"," 23.9","24"," 33.0","999.9","  39.7"," ","  29.8"," "," 0.00","I","999.9","000000"
"01055099999","2019-01-11","71.1","23.9833333","14.22","FRUHOLMEN FYR, NO","  35.3","24","  25.6","24"," 966.5","24","964.8","24","999.9"," 0"," 29.7","24"," 52.4","999.9","  37.9"," ","  31.1"," "," 0.00","I","999.9","000000"
