"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00128437","2018-07-07","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  117",",,7","  183",",,7,2400"
"USC00128437","2018-07-08","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  139",",,7","  217",",,7,2400"
"USC00128437","2018-07-09","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  156",",,7","  239",",,7,2400"
"USC00128437","2018-07-10","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  317",",,7","  194",",,7","  200",",,7,2400"
"USC00128437","2018-07-11","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  167",",,7","  211",",,7,2400"
"USC00128437","2018-07-12","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  311",",,7","  178",",,7","  233",",,7,2400"
"USC00128437","2018-07-13","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  194",",,7","  261",",,7,2400"
"USC00128437","2018-07-14","41.7005","-86.2487","216.4","SOUTH BEND, IN US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  211",",,7","  239",",,7,2400"
"USC00128437","2018-07-15","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  217",",,7","  239",",,7,2400"
"USC00128437","2018-07-16","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  211",",,7","  211",",,7,2400"
"USC00128437","2018-07-17","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  167",",,7","  167",",,7,2400"
"USC00128437","2018-07-18","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  128",",,7","  178",",,7,2400"
"USC00128437","2018-07-19","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  150",",,7","  244",",,7,2400"
"USC00128437","2018-07-20","41.7005","-86.2487","216.4","SOUTH BEND, IN US","  455",",,7,2400","    0",",,7,2400","    0",",,7,2400","  283",",,7","  194",",,7","  200",",,7,2400"
"USC00128437","2018-07-21","41.7005","-86.2487","216.4","SOUTH BEND, IN US","  173",",,7,2400","    0",",,7,2400","    0",",,7,2400","  228",",,7","  194",",,7","  200",",,7,2400"
"USC00128437","2018-07-22","41.7005","-86.2487","216.4","SOUTH BEND, IN US","   66",",,7,2400","    0",",,7,2400","    0",",,7,2400","  256",",,7","  189",",,7","  194",",,7,2400"
"USC00128437","2018-07-23","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  233",",,7","  183",",,7","  200",",,7,2400"
"USC00128437","2018-07-24","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    8",",,7,2400","    0",",,7,2400","    0",",,7,2400","  272",",,7","  189",",,7","  200",",,7,2400"
"USC00128437","2018-07-25","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  172",",,7","  189",",,7,2400"
"USC00128437","2018-07-26","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","  172",",,7","  200",",,7,2400"
"USC00128437","2018-07-27","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    8",",,7,2400","    0",",,7,2400","    0",",,7,2400","  233",",,7","  156",",,7","  161",",,7,2400"
"USC00128437","2018-07-28","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  250",",,7","  139",",,7","  161",",,7,2400"
"USC00128437","2018-07-29","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  261",",,7","  139",",,7","  172",",,7,2400"
"USC00128437","2018-07-30","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  139",",,7","  183",",,7,2400"
"USC00128437","2018-07-31","41.7005","-86.2487","216.4","SOUTH BEND, IN US","   15",",,7,2400","    0",",,7,2400","    0",",,7,2400","  233",",,7","  161",",,7","  178",",,7,2400"
"USC00128437","2018-08-01","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  167",",,7","  211",",,7,2400"
"USC00128437","2018-08-02","41.7005","-86.2487","216.4","SOUTH BEND, IN US","   25",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  183",",,7","  189",",,7,2400"
"USC00128437","2018-08-03","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  167",",,7","  189",",,7,2400"
"USC00128437","2018-08-04","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  178",",,7","  261",",,7,2400"
"USC00128437","2018-08-05","41.7005","-86.2487","216.4","SOUTH BEND, IN US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  339",",,7","  178",",,7","  267",",,7,2400"
"USC00128437","2018-08-06","41.7005","-86.2487","216.4","SOUTH BEND, IN US","  574",",,7,2400","    0",",,7,2400","    0",",,7,2400","  306",",,7","  211",",,7","  211",",,7,2400"
