"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRTH","FRTH_ATTRIBUTES","GAHT","GAHT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013984","2018-07-07","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  183",",,W",,,,,"   33",",,W",,,,,,,,,,,"  244","H,,S",,,,,"  140",",,W","  140",",,W",,,,,,,,,"   58",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-08","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  333",",,W","  172",",,W",,,,,"   41",",,W",,,,,,,,,,,"  259","H,,S",,,,,"  140",",,W","  160",",,W",,,,,,,,,"   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-09","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  344",",,W","  206",",,W",,,,,"   28",",,W",,,,,,,,,,,"  273","H,,S",,,,,"  200",",,W","  200",",,W",,,,,,,,,"   67",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-10","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  350",",,W","  189",",,W",,,,,"   26",",,W",,,,,,,,,,,"  273","H,,S",,,,,"  180",",,W","  130",",,W",,,,,,,,,"   63",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-11","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  356",",,W","  239",",,W",,,,,"   50",",,W",,,,,,,,,,,"  294","H,,S",,,,,"  190",",,W","  170",",,W",,,,,,,,,"   89",",,W","  125",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-12","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  361",",,W","  222",",,W",,,,,"   56",",,W",,,,,,,,,,,"  300","H,,S",,,,,"  160",",,W","  150",",,W",,,,,,,,,"   89",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-13","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","  224",",,W,2400","    0",",,W","    0",",,W","  356",",,W","  211",",,W",,,,,"   38",",,W",,,,,,,,,,,"  293","H,,S",,,,,"  330",",,W","  320",",,W",,,,,,,,,"  161",",,W","  224",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-14","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  306",",,W","  194",",,W",,,,,"   12",",,W",,,,,,,,,,,"  232","H,,S",,,,,"   50",",,W","   40",",,W",,,,,,,,,"   36",",,W","   49",",,W",,,,,"    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-15","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   15",",,W,2400","    0",",,W","    0",",,W","  339",",,W","  206",",,W",,,,,"   15",",,W",,,,,,,,,,,"  261","H,,S",,,,,"   20",",,W","   20",",,W",,,,,,,,,"   94",",,W","  116",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-16","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  317",",,W","  211",",,W",,,,,"   22",",,W",,,,,,,,,,,"  253","H,,S",,,,,"  130",",,W","  140",",,W",,,,,,,,,"   63",",,W","   76",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-17","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   76",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  206",",,W",,,,,"   26",",,W",,,,,,,,,,,"  245","H,,S",,,,,"  180",",,W","  160",",,W",,,,,,,,,"   72",",,W","   94",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-18","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  200",",,W",,,,,"   22",",,W",,,,,,,,,,,"  234","H,,S",,,,,"   90",",,W","   90",",,W",,,,,,,,,"   67",",,W","  103",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-19","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0","T,,W,2400","    0",",,W","    0",",,W","  333",",,W","  217",",,W",,,,,"   28",",,W",,,,,,,,,,,"  264","H,,S",,,,,"  240",",,W","  240",",,W",,,,,,,,,"  125",",,W","  170",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-20","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0","T,,W,2400","    0",",,W","    0",",,W","  311",",,W","  189",",,W",,,,,"   30",",,W",,,,,,,,,,,"  251","H,,S",,,,,"   60",",,W","   70",",,W",,,,,,,,,"   76",",,W","  112",",,W",,,,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-21","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  172",",,W",,,,,"   19",",,W",,,,,,,,,,,"  246","H,,S",,,,,"  120",",,W","  120",",,W",,,,,,,,,"   45",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-22","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    3",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  183",",,W",,,,,"   25",",,W",,,,,,,,,,,"  241","H,,S",,,,,"  100",",,W","  110",",,W",,,,,,,,,"   63",",,W","   85",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-23","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  200",",,W",,,,,"   23",",,W",,,,,,,,,,,"  248","H,,S",,,,,"   20",",,W","  340",",,W",,,,,,,,,"   58",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-24","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  311",",,W","  167",",,W",,,,,"   24",",,W",,,,,,,,,,,"  245","H,,S",,,,,"   50",",,W","   50",",,W",,,,,,,,,"   63",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-25","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","  193",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  156",",,W",,,,,"   39",",,W",,,,,,,,,,,"  219","H,,S",,,,,"   20",",,W","   20",",,W",,,,,,,,,"  125",",,W","  250",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-26","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   20",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  178",",,W",,,,,"   26",",,W",,,,,,,,,,,"  222","H,,S",,,,,"  190",",,W","  100",",,W",,,,,,,,,"   54",",,W","   72",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-27","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  156",",,W",,,,,"   22",",,W",,,,,,,,,,,"  218","H,,S",,,,,"  140",",,W","  110",",,W",,,,,,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-28","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   13",",,W,2400","    0",",,W","    0",",,W","  283",",,W","  167",",,W",,,,,"   32",",,W",,,,,,,,,,,"  224","H,,S",,,,,"   50",",,W","   50",",,W",,,,,,,,,"   72",",,W","   98",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-29","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   15",",,W,2400","    0",",,W","    0",",,W","  272",",,W","  183",",,W",,,,,"   28",",,W",,,,,,,,,,,"  220","H,,S",,,,,"   20",",,W","   20",",,W",,,,,,,,,"   76",",,W","  103",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-30","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","   43",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  161",",,W",,,,,"   21",",,W",,,,,,,,,,,"  202","H,,S",,,,,"   40",",,W","   40",",,W",,,,,,,,,"   58",",,W","   85",",,W",,,,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-07-31","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  133",",,W",,,,,"   18",",,W",,,,,,,,,,,"  197","H,,S",,,,,"  340",",,W","  360",",,W",,,,,,,,,"   40",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-08-01","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  150",",,W",,,,,"   39",",,W",,,,,,,,,,,"  226","H,,S",,,,,"  230",",,W","  200",",,W",,,,,,,,,"   67",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013984","2018-08-02","39.5514","-97.6508","447.8","CONCORDIA ASOS, KS US","    0",",,W,2400","    0",",,W","    0",",,W","  322",",,W","  150",",,W",,,,,"   43",",,W",,,,,,,,,,,"  244","H,,S",,,,,"  190",",,W","  190",",,W",,,,,,,,,"   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
