"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN51","SN51_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX51","SX51_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00155097","2018-07-03","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  228",",,7",,,,,"  339",",,7,1300","   54",",,7","  256",",,7","  267",",,7","  294",",,7","  294",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-04","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  361",",,7","  228",",,7",,,,,"  361",",,7,1300","   58",",,7","  256",",,7","  267",",,7","  289",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-05","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   64",",,7,1300",,,,,"  367",",,7","  244",",,7",,,,,"  256",",,7,1300","   89",",,7","  261",",,7","  272",",,7","  300",",,7","  300",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-06","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  356",",,7","  217",",,7",,,,,"  311",",,7,1300","   94",",,7","  256",",,7","  267",",,7","  300",",,7","  300",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-07","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  183",",,7",,,,,"  300",",,7,1300","   85",",,7","  244",",,7","  261",",,7","  289",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-08","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  328",",,7","  194",",,7",,,,,"  306",",,7,1300","   63",",,7","  244",",,7","  256",",,7","  283",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-09","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  328",",,7","  211",",,7",,,,,"  317",",,7,1300","   45",",,7","  250",",,7","  261",",,7","  283",",,7","  283",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-10","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  211",",,7",,,,,"  328",",,7,1300","   49",",,7","  250",",,7","  261",",,7","  283",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-11","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  222",",,7",,,,,"  333",",,7,1300","   54",",,7","  250",",,7","  261",",,7","  289",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-12","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  200",",,7",,,,,"  311",",,7,1300","   67",",,7","  244",",,7","  256",",,7","  289",",,7","  289",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-13","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  322",",,7","  172",",,7",,,,,"  317",",,7,1300","   49",",,7","  233",",,7","  244",",,7","  283",",,7","  283",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-14","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  333",",,7","  189",",,7",,,,,"  333",",,7,1300","   40",",,7","  233",",,7","  250",",,7","  278",",,7","  283",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-15","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","   41",",,7,1300",,,,,"  350",",,7","  222",",,7",,,,,"  256",",,7,1300","   45",",,7","  244",",,7","  256",",,7","  283",",,7","  283",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-16","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    5",",,7,1300",,,,,"  322",",,7","  217",",,7",,,,,"  317",",,7,1300","   63",",,7","  239",",,7","  250",",,7","  261",",,7","  261",",,7",,,,,,,,,,,,,,,,,,
"USC00155097","2018-07-17","37.1318","-86.1481","231.6","MAMMOTH CAVE, KY US","    0",",,7,1300",,,,,"  339",",,7","  217",",,7",,,,,"  333",",,7,1300","   63",",,7","  244",",,7","  250",",,7","  278",",,7","  278",",,7",,,,,,,,,,,,,,,,,,
