"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES"
"USW00025325","2018-07-05","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    3",",,W,2400",,,,,"  244",",,W","  156",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,"  140",",,W","  120",",,W",,,"  116",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-06","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","   66",",,W,2400",,,,,"  161",",,W","  144",",,W","   36",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  130",",,W",,,"   72",",,W","   94",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-07","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    5",",,W,2400",,,,,"  183",",,W","  133",",,W","   31",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  130",",,W",,,"   63",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-08","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  217",",,W","  117",",,W","   22",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  110",",,W",,,"   54",",,W","   58",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-09","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  222",",,W","   94",",,W","   28",",,W",,,,,,,,,,,,,,,,,,,,,,,"  110",",,W","  110",",,W",,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-10","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    8",",,W,2400",,,,,"  167",",,W","  139",",,W","   38",",,W",,,,,,,,,,,,,,,,,,,,,,,"  130",",,W","  130",",,W",,,"   76",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-11","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    3",",,W,2400",,,,,"  172",",,W","  117",",,W","   24",",,W",,,,,,,,,,,,,,,,,,,,,,,"  340",",,W","  120",",,W",,,"   54",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-12","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","   48",",,W,2400",,,,,"  161",",,W","  117",",,W","   18",",,W",,,,,,,,,,,,,,,,,,,,,,,"  360",",,W","  360",",,W",,,"   45",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-13","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0","T,,W,2400",,,,,"  206",",,W","  117",",,W","   32",",,W",,,,,,,,,,,,,,,,,,,,,,,"  330",",,W","  330",",,W",,,"   58",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-14","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  211",",,W","  117",",,W","   33",",,W",,,,,,,,,,,,,,,,,,,,,,,"  330",",,W","  340",",,W",,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-15","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0","T,,W,2400",,,,,"  167",",,W","  128",",,W","   39",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  120",",,W",,,"   67",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-16","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","   53",",,W,2400",,,,,"  150",",,W","  128",",,W","   53",",,W",,,,,,,,,,,,,,,,,,,,,,,"  130",",,W","  130",",,W",,,"   81",",,W","  107",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-17","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","  122",",,W,2400",,,,,"  156",",,W","  133",",,W","   42",",,W",,,,,,,,,,,,,,,,,,,,,,,"  130",",,W","  130",",,W",,,"   67",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-18","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  178",",,W","  128",",,W","   37",",,W",,,,,,,,,,,,,,,,,,,,,,,"  350",",,W","   10",",,W",,,"   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-19","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  200",",,W","  128",",,W","   39",",,W",,,,,,,,,,,,,,,,,,,,,,,"  340",",,W","  360",",,W",,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-20","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  228",",,W","  133",",,W","   36",",,W",,,,,,,,,,,,,,,,,,,,,,,"  350",",,W","  330",",,W",,,"   63",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-21","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  222",",,W","  106",",,W","   27",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  120",",,W",,,"   58",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025325","2018-07-22","55.35","-131.65","24.4","KETCHIKAN AIRPORT, AK US","    0",",,W,2400",,,,,"  206",",,W","  133",",,W","   31",",,W",,,,,,,,,,,,,,,,,,,,,,,"  120",",,W","  130",",,W",,,"   58",",,W","   72",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
