"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00003936","2018-07-06","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  356",",,W","  233",",,W","   37",",,W",,,,,,,,,,,"  100",",,W","   70",",,W","   67",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-07","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  356",",,W","  206",",,W","   31",",,W",,,,,,,,,,,"   70",",,W","   50",",,W","   81",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-08","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  367",",,W","  150",",,W","   21",",,W",,,,,,,,,,,"  150",",,W","  150",",,W","   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-09","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  383",",,W","  172",",,W","   13",",,W",,,,,,,,,,,"   90",",,W","   80",",,W","   58",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-10","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0","T,,W,2400",,,,,"  383",",,W","  200",",,W","   17",",,W",,,,,,,,,,,"   60",",,W","   50",",,W","   63",",,W","   85",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-11","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   38",",,W,2400",,,,,"  389",",,W","  217",",,W","   24",",,W",,,,,,,,,,,"  160",",,W","  180",",,W","   72",",,W","  134",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-12","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  406",",,W","  228",",,W","   34",",,W",,,,,,,,,,,"  180",",,W","  170",",,W","   89",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-13","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   13",",,W,2400",,,,,"  389",",,W","  217",",,W","   27",",,W",,,,,,,,,,,"  220",",,W","  310",",,W","   76",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-14","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","  399",",,W,2400",,,,,"  328",",,W","  222",",,W","   12",",,W",,,,,,,,,,,"  280",",,W",,,"   45",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-15","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  350",",,W","  211",",,W","   10",",,W",,,,,,,,,,,"  220",",,W","  220",",,W","   58",",,W","   76",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-16","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  350",",,W","  239",",,W","   17",",,W",,,,,,,,,,,"   60",",,W","   80",",,W","   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-17","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   46",",,W,2400",,,,,"  300",",,W","  222",",,W","   32",",,W",,,,,,,,,,,"   70",",,W","   60",",,W","   81",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-18","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  328",",,W","  217",",,W","   21",",,W",,,,,,,,,,,"   70",",,W","   60",",,W","   67",",,W","   89",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-19","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   97",",,W,2400",,,,,"  356",",,W","  217",",,W","   16",",,W",,,,,,,,,,,"  300",",,W","  300",",,W","  157",",,W","  273",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-20","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0","T,,W,2400",,,,,"  333",",,W","  200",",,W","   26",",,W",,,,,,,,,,,"   40",",,W","   30",",,W","   81",",,W","  103",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-21","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  333",",,W","  189",",,W","   17",",,W",,,,,,,,,,,"   50",",,W","   50",",,W","   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-22","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  317",",,W","  200",",,W","   21",",,W",,,,,,,,,,,"   70",",,W","   80",",,W","   54",",,W","   63",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-23","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0","T,,W,2400",,,,,"  322",",,W","  211",",,W","   14",",,W",,,,,,,,,,,"   40",",,W","   30",",,W","   54",",,W","   85",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-24","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  328",",,W","  189",",,W","   15",",,W",,,,,,,,,,,"   40",",,W","   80",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-25","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    3",",,W,2400",,,,,"  322",",,W","  156",",,W","   15",",,W",,,,,,,,,,,"  270",",,W","  280",",,W","   67",",,W","  103",",,W",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-26","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   33",",,W,2400",,,,,"  289",",,W","  172",",,W","    9",",,W",,,,,,,,,,,"   50",",,W","   20",",,W","   76",",,W","  112",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-27","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  311",",,W","  144",",,W","   18",",,W",,,,,,,,,,,"   50",",,W","   30",",,W","   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-28","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","    0",",,W,2400",,,,,"  333",",,W","  194",",,W","   34",",,W",,,,,,,,,,,"   90",",,W","   90",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-29","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   86",",,W,2400",,,,,"  289",",,W","  194",",,W","   23",",,W",,,,,,,,,,,"   40",",,W","   30",",,W","   63",",,W","   81",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003936","2018-07-30","39.1346","-96.6788","321.9","MANHATTAN ASOS, KS US","   66",",,W,2400",,,,,"  267",",,W","  172",",,W","   16",",,W",,,,,,,,,,,"   50",",,W","   50",",,W","   89",",,W","  130",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
