"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00041072","2018-01-30","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  144",",,7","  -83",",,7",,,,,,,,,"  -72",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-01-31","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  167",",,7","  -89",",,7",,,,,,,,,"   44",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-01","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  178",",,7","  -50",",,7",,,,,,,,,"  -11",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-02","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-03","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,"  -33",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-04","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  167",",,7","  -83",",,7",,,,,,,,,"  -78",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-05","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  167",",,7","  -83",",,7",,,,,,,,,"  -78",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-06","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  172",",,7","  -94",",,7",,,,,,,,,"  -83",",,7,0800",,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-07","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00041072","2018-02-08","38.2575","-119.2286","1972.1","BRIDGEPORT, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  133",",,7","  -94",",,7",,,,,,,,,"   56",",,7,0800",,,,,,,,,,,,,,,,,,
