"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN51","SN51_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX51","SX51_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00405956","2018-07-07","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  322",",,7","  228",",,7",,,,,,,"  233",",,7,0600",,,,,"  244",",,7","  267",",,7",,,"  322",",,7","  322",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-08","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","   51",",,7,0600","    0",",,7","    0",",,7,0600","  306",",,7","  217",",,7",,,,,,,"  222",",,7,0600",,,,,"  239",",,7","  267",",,7",,,"  328",",,7","  322",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-09","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    3",",,7,0600","    0",",,7","    0",",,7,0600","  322",",,7","  222",",,7",,,,,,,"  233",",,7,0600",,,,,"  228",",,7","  256",",,7",,,"  328",",,7","  317",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-10","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  317",",,7","  228",",,7",,,,,,,"  233",",,7,0600",,,,,"  233",",,7","  261",",,7",,,"  328",",,7","  317",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-11","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  328",",,7","  233",",,7",,,,,,,"  239",",,7,0600",,,,,"  239",",,7","  267",",,7",,,"  344",",,7","  322",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-12","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  228",",,7",,,,,,,"  239",",,7,0600",,,,,"  250",",,7","  283",",,7",,,"  361",",,7","  344",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-13","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  339",",,7","  228",",,7",,,,,,,"  233",",,7,0600",,,,,"  256",",,7","  283",",,7",,,"  339",",,7","  322",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-14","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  356",",,7","  233",",,7",,,,,,,"  250",",,7,0600",,,,,"  239",",,7","  294",",,7",,,"  361",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-15","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  367",",,7","  250",",,7",,,,,,,"  256",",,7,0600",,,,,"  267",",,7","  300",",,7",,,"  372",",,7","  356",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-16","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  217",",,7",,,,,,,"  239",",,7,0600",,,,,"  250",",,7","  283",",,7",,,"  344",",,7","  333",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-17","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  239",",,7",,,,,,,"  244",",,7,0600",,,,,"  244",",,7","  267",",,7",,,"  339",",,7","  333",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-18","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  233",",,7",,,,,,,"  244",",,7,0600",,,,,"  250",",,7","  272",",,7",,,"  356",",,7","  333",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-19","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  322",",,7","  222",",,7",,,,,,,"  222",",,7,0600",,,,,"  239",",,7","  272",",,7",,,"  317",",,7","  306",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-20","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","   23",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  222",",,7",,,,,,,"  228",",,7,0600",,,,,"  233",",,7","  267",",,7",,,"  328",",,7","  328",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-21","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    3",",,7,0600","    0",",,7","    0",",,7,0600","  356",",,7","  228",",,7",,,,,,,"  261",",,7,0600",,,,,"  239",",,7","  267",",,7",,,"  333",",,7","  328",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-22","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  328",",,7","  211",",,7",,,,,,,"  211",",,7,0600",,,,,"  244",",,7","  261",",,7",,,"  361",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-23","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  311",",,7","  206",",,7",,,,,,,"  206",",,7,0600",,,,,"  244",",,7","  278",",,7",,,"  350",",,7","  344",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-24","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  283",",,7","  183",",,7",,,,,,,"  194",",,7,0600",,,,,"  233",",,7","  272",",,7",,,"  306",",,7","  311",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-25","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  317",",,7","  194",",,7",,,,,,,"  206",",,7,0600",,,,,"  222",",,7","  267",",,7",,,"  344",",,7","  339",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-26","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  328",",,7","  200",",,7",,,,,,,"  206",",,7,0600",,,,,"  233",",,7","  261",",,7",,,"  367",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-27","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","  188",",,7,0600","    0",",,7","    0",",,7,0600","  344",",,7","  206",",,7",,,,,,,"  222",",,7,0600",,,,,"  228",",,7","  278",",,7",,,"  367",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-28","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  361",",,7","  189",",,7",,,,,,,"  233",",,7,0600",,,,,"  211",",,7","  261",",,7",,,"  317",",,7","  317",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-29","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  317",",,7","  194",",,7",,,,,,,"  222",",,7,0600",,,,,"  211",",,7","  244",",,7",,,"  306",",,7","  294",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-30","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  328",",,7","  206",",,7",,,,,,,"  222",",,7,0600",,,,,"  211",",,7","  239",",,7",,,"  328",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-07-31","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0","T,,7,0600","    0",",,7","    0",",,7,0600","  283",",,7","  206",",,7",,,,,,,"  206",",,7,0600",,,,,"  233",",,7","  256",",,7",,,"  311",",,7","  300",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-01","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","   86",",,7,0600","    0",",,7","    0",",,7,0600","  294",",,7","  183",",,7",,,,,,,"  189",",,7,0600",,,,,"  211",",,7","  261",",,7",,,"  306",",,7","  306",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-02","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  294",",,7","  172",",,7",,,,,,,"  183",",,7,0600",,,,,"  206",",,7","  244",",,7",,,"  294",",,7","  300",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-03","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  306",",,7","  178",",,7",,,,,,,"  183",",,7,0600",,,,,"  206",",,7","  244",",,7",,,"  328",",,7","  311",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-04","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  333",",,7","  183",",,7",,,,,,,"  211",",,7,0600",,,,,"  211",",,7","  244",",,7",,,"  356",",,7","  339",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-05","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  350",",,7","  211",",,7",,,,,,,"  239",",,7,0600",,,,,"  233",",,7","  272",",,7",,,"  367",",,7","  344",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-06","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  333",",,7","  222",",,7",,,,,,,"  222",",,7,0600",,,,,"  256",",,7","  289",",,7",,,"  350",",,7","  333",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-07","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","    0",",,7,0600","    0",",,7","    0",",,7,0600","  350",",,7","  222",",,7",,,,,,,"  228",",,7,0600",,,,,"  250",",,7","  289",",,7",,,"  367",",,7","  350",",,7",,,,,,,,,,,,,,
"USC00405956","2018-08-08","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","   51",",,7,0600","    0",",,7","    0",",,7,0600","  350",",,7","  228",",,7",,,,,,,"  228",",,7,0600",,,,,"  250",",,7","  294",",,7",,,"  367",",,7","  350",",,7",,,,,,,,,,,,,,
