"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00203188","2018-07-04","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  322",",,7","  139",",,7",,,,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-05","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  344",",,7","  150",",,7",,,,,,,"  206",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-06","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","   15",",,7,0730","    0",",,7,","    0",",,7,0730","  328",",,7","  133",",,7",,,,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-07","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  244",",,7","   72",",,7",,,,,,,"  117",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-08","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  272",",,7","   94",",,7",,,,,,,"  200",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-09","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  306",",,7","  117",",,7",,,,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-10","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  328",",,7","  133",",,7",,,,,,,"  167",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-11","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  283",",,7","  117",",,7",,,,,,,"  156",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-12","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  272",",,7","   89",",,7",,,,,,,"  100",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-13","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","   81",",,7,0730","    0",",,7,","    0",",,7,0730","  261",",,7","  100",",,7",,,,,,,"  156",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-14","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","   41",",,7,0730","    0",",,7,","    0",",,7,0730","  311",",,7","  156",",,7",,,,,,,"  194",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-15","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    8",",,7,0730","    0",",,7,","    0",",,7,0730","  283",",,7","  161",",,7",,,,,,,"  189",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-16","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  317",",,7","  172",",,7",,,,,,,"  222",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-17","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","  353",",,7,0730","    0",",,7,","    0",",,7,0730","  300",",,7","  133",",,7",,,,,,,"  139",",,7,0730",,,,,"    1",",,7",,,,,,,"    1",",,7"
"USC00203188","2018-07-18","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  239",",,7","  100",",,7",,,,,,,"  111",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-19","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  244",",,7","   83",",,7",,,,,,,"  150",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-20","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","    0",",,7,0730","    0",",,7,","    0",",,7,0730","  278",",,7","   83",",,7",,,,,,,"  111",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-21","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","  216",",,7,0730","    0",",,7,","    0",",,7,0730","  278",",,7","  111",",,7",,,,,,,"  194",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00203188","2018-07-22","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","  191",",,7,0730","    0",",,7,","    0",",,7,0730","  217",",,7","  172",",,7",,,,,,,"  172",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-23","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","   84",",,7,0730","    0",",,7,","    0",",,7,0730","  222",",,7","  167",",,7",,,,,,,"  172",",,7,0730",,,,,,,,,,,,,,
"USC00203188","2018-07-24","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","  660",",,7,0730","    0",",,7,","    0",",,7,0730","  228",",,7","  172",",,7",,,,,,,"  194",",,7,0730",,,,,"    1",",,7",,,,,,,,
"USC00203188","2018-07-25","44.5358","-83.7022","272.5","GLENNIE 2 SE, MI US","  112",",,7,0730","    0",",,7,","    0",",,7,0730","  211",",,7","  156",",,7",,,,,,,"  161",",,7,0730",,,,,,,,,,,,,,
