"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023052","2018-07-22","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  372",",,W","  144",",,W",,,"   50",",,W",,," 1805",",,W",,,,,"  350",",,W","   10",",,W",,,,,"  125",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-23","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  165",",,W,",,,,,"  322",",,W","  122",",,W",,,"   61",",,W",,," 1552",",,W",,,,,"  340",",,W","  320",",,W",,,,,"  183",",,W","  233",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-24","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  306",",,W","  156",",,W",,,"   29",",,W",,," 2121",",,W",,,,,"   90",",,W","   90",",,W",,,,,"  116",",,W","  143",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-25","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    8",",,W,",,,,,"  317",",,W","  128",",,W",,,"   39",",,W",,," 1407",",,W",,,,,"  340",",,W","  340",",,W",,,,,"  139",",,W","  161",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-26","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","  155",",,W,",,,,,"  272",",,W","  139",",,W",,,"   41",",,W",,," 1731",",,W",,,,,"   40",",,W","   40",",,W",,,,,"  157",",,W","  188",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-27","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  250",",,W","  133",",,W",,,"   38",",,W",,," 1520",",,W",,,,,"  190",",,W","  190",",,W",,,,,"   98",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-28","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0","T,,W,",,,,,"  300",",,W","  106",",,W",,,"   35",",,W",,," 1619",",,W",,,,,"  260",",,W","  260",",,W",,,,,"  125",",,W","  174",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-29","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    0",",,W,",,,,,"  306",",,W","  122",",,W",,,"   37",",,W",,," 1912",",,W",,,,,"   10",",,W","  360",",,W",,,,,"  134",",,W","  165",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-30","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","   38",",,W,",,,,,"  256",",,W","  150",",,W",,,"   31",",,W",,," 0036",",,W",,,,,"  340",",,W","  340",",,W",,,,,"   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023052","2018-07-31","36.74139","-104.50222","1935.2","RATON MUNICIPAL CREWS FIELD AIRPORT, NM US","    3",",,W,",,,,,"  272",",,W","  133",",,W",,,"   26",",,W",,," 1037",",,W",,,,,"  180",",,W","  180",",,W",,,,,"   67",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
