"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00095314","2018-05-21","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  167",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-22","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0","T,,7,0800","    0",",,7","    0",",,7","  283",",,7","  189",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-23","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","  180",",,7,0800","    0",",,7","    0",",,7","  289",",,7","  189",",,7",,,,,,,,,"  211",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-24","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0","T,,7,0800","    0",",,7","    0",",,7","  289",",,7","  200",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-25","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","  335",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  200",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-26","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US"," 1102",",,7,0800","    0",",,7","    0",",,7","  250",",,7","  194",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-27","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    3",",,7,0800","    0",",,7","    0",",,7","  283",",,7","  183",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-28","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","   91",",,7,0800","    0",",,7","    0",",,7","  272",",,7","  206",",,7",,,,,,,,,"  217",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-29","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","   76",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  217",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-30","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","  104",",,7,0800","    0",",,7","    0",",,7","  278",",,7","  217",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-05-31","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","  104",",,7,0800","    0",",,7","    0",",,7","  300",",,7","  211",",,7",,,,,,,,,"  222",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-01","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","   71",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  194",",,7",,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-02","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","   43",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  194",",,7",,,,,,,,,"  206",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-03","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","   33",",,7,0800","    0",",,7","    0",",,7","  306",",,7","  206",",,7",,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-04","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,,,,,"  228",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-05","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  311",",,7","  161",",,7",,,,,,,,,"  233",",,7,0800",,,,,,,,,,,,,,
"USC00095314","2018-06-06","33.0125","-82.3914","98.1","LOUISVILLE 1 E, GA US","    0",",,7,0800","    0",",,7","    0",",,7","  294",",,7","  161",",,7",,,,,,,,,"  189",",,7,0800",,,,,,,,,,,,,,
