"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00084621","2018-04-13","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  289",",,7","  128",",,7",,,,,"  150",",,7,0900"
"USC00084621","2018-04-14","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  300",",,7","  150",",,7",,,,,"  178",",,7,0900"
"USC00084621","2018-04-15","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  317",",,7","  172",",,7",,,,,"  244",",,7,0900"
"USC00084621","2018-04-16","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","   64",",,7,0900","  317",",,7","  128",",,7",,,,,"  189",",,7,0900"
"USC00084621","2018-04-17","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0","T,,7,0900","  233",",,7","   83",",,7",,,,,"  100",",,7,0900"
"USC00084621","2018-04-18","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  278",",,7","   89",",,7",,,,,"  256",",,7,0900"
"USC00084621","2018-04-19","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  317",",,7","   89",",,7",,,,,"  206",",,7,0900"
"USC00084621","2018-04-20","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  317",",,7","  122",",,7",,,,,"  133",",,7,0900"
"USC00084621","2018-04-21","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  311",",,7","  133",",,7",,,,,"  261",",,7,0900"
"USC00084621","2018-04-22","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  278",",,7","  189",",,7",,,,,"  261",",,7,0900"
"USC00084621","2018-04-23","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","  511",",,7,0900","  306",",,7","  183",",,7",,,,,"  194",",,7,0900"
"USC00084621","2018-04-24","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","  229",",,7,0900","  311",",,7","  189",",,7",,,,,"  244",",,7,0900"
"USC00084621","2018-04-25","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    3",",,7,0900","  306",",,7","  139",",,7",,,,,"  211",",,7,0900"
"USC00084621","2018-04-26","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  283",",,7","  128",",,7",,,,,"  200",",,7,0900"
"USC00084621","2018-04-27","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  294",",,7","  150",",,7",,,,,"  278",",,7,0900"
"USC00084621","2018-04-28","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  317",",,7","  139",",,7",,,,,"  200",",,7,0900"
"USC00084621","2018-04-29","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  294",",,7","  150",",,7",,,,,"  217",",,7,0900"
"USC00084621","2018-04-30","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  306",",,7","  139",",,7",,,,,"  217",",,7,0900"
"USC00084621","2018-05-01","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  294",",,7","  128",",,7",,,,,"  244",",,7,0900"
"USC00084621","2018-05-02","27.6038","-81.053","21.9","KISSIMMEE PRAIRIE PRESERVE, FL US","    0",",,7,0900","  294",",,7","  133",",,7",,,,,,
