"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00090015","2018-07-06","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","  154",",,a","  114",",,a","   81",",,a",,,,,,,,,,,,,,,"   98","H,,S"
"ASN00090015","2018-07-07","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","  118",",,a","  125",",,a","   79",",,a",,,,,,,,,,,,,,,"  112","H,,S"
"ASN00090015","2018-07-08","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","   58",",,a","  131",",,a","   89",",,a",,,,,,,,,,,,,,,"  119","H,,S"
"ASN00090015","2018-07-09","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    6",",,a","  124",",,a","  102",",,a",,,,,,,,,,,,,,,"  108","H,,S"
"ASN00090015","2018-07-10","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    2",",,a","  127",",,a","   93",",,a",,,,,,,,,,,,,,,"   98","H,,S"
"ASN00090015","2018-07-11","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","   22",",,a","   86",",,a","   73",",,a",,,,,,,,,,,,,,,"   63","H,,S"
"ASN00090015","2018-07-12","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","   38",",,a","  122",",,a","   37",",,a",,,,,,,,,,,,,,,"   94","H,,S"
"ASN00090015","2018-07-13","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    8",",,a","  130",",,a","   66",",,a",,,,,,,,,,,,,,,"   96","H,,S"
"ASN00090015","2018-07-14","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    0",",,a","  127",",,a","   74",",,a",,,,,,,,,,,,,,,"   98","H,,S"
"ASN00090015","2018-07-15","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    0",",,a","  140",",,a","   64",",,a",,,,,,,,,,,,,,,"  113","H,,S"
"ASN00090015","2018-07-16","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    0",",,a","  141",",,a","   92",",,a",,,,,,,,,,,,,,,"  125","H,,S"
"ASN00090015","2018-07-17","-38.8556","143.5128","82.0","CAPE OTWAY LIGHTHOUSE, AS","    0",",,a","  146",",,a","  102",",,a",,,,,,,,,,,,,,,"   99","H,,S"
