"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013883","2018-07-27","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  356",",,W","  222",",,W",,,,,"   18",",,W",,,,,,,,,"  281","H,,S",,,,,"  180",",,W","  100",",,W",,,,,,,"   54",",,W","   76",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-07-28","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","    3",",,W,2400","    0",",,W,2400","    0",",,W,2400","  356",",,W","  233",",,W",,,,,"   19",",,W",,,,,,,,,"  287","H,,S",,,,,"  300",",,W","  300",",,W",,,,,,,"   94",",,W","  116",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-07-29","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","  259",",,W,2400","    0",",,W,2400","    0",",,W,2400","  322",",,W","  222",",,W",,,,,"   20",",,W",,,,,,,,,"  265","H,,S",,,,,"  310",",,W","  300",",,W",,,,,,,"  107",",,W","  152",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-07-30","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","    0","T,,W,2400","    0",",,W,2400","    0",",,W,2400","  328",",,W","  228",",,W",,,,,"   22",",,W",,,,,,,,,"  257","H,,S",,,,,"  120",",,W","  310",",,W",,,,,,,"   67",",,W","   94",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-07-31","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","   13",",,W,2400","    0",",,W,2400","    0",",,W,2400","  311",",,W","  244",",,W",,,,,"   26",",,W",,,,,,,,,"  266","H,,S",,,,,"  190",",,W","  180",",,W",,,,,,,"   72",",,W","   94",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-08-01","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","   18",",,W,2400","    0",",,W,2400","    0",",,W,2400","  328",",,W","  233",",,W",,,,,"   31",",,W",,,,,,,,,"  268","H,,S",,,,,"  140",",,W","  150",",,W",,,,,,,"   89",",,W","  107",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-08-02","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","   76",",,W,2400","    0",",,W,2400","    0",",,W,2400","  333",",,W","  228",",,W",,,,,"   29",",,W",,,,,,,,,"  273","H,,S",,,,,"  120",",,W","  120",",,W",,,,,,,"   98",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-08-03","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","  107",",,W,2400","    0",",,W,2400","    0",",,W,2400","  311",",,W","  228",",,W",,,,,"   23",",,W",,,,,,,,,"  251","H,,S",,,,,"  220",",,W","  200",",,W",,,,,,,"   98",",,W","  139",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-08-04","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","  251",",,W,2400","    0",",,W,2400","    0",",,W,2400","  333",",,W","  228",",,W",,,,,"   20",",,W",,,,,,,,,"  264","H,,S",,,,,"  160",",,W","  150",",,W",,,,,,,"  112",",,W","  143",",,W",,,"    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013883","2018-08-05","33.94228","-81.11803","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","    3",",,W,2400","    0",",,W,2400","    0",",,W,2400","  350",",,W","  233",",,W",,,,,"   12",",,W",,,,,,,,,"  274","H,,S",,,,,"  250",",,W","   50",",,W",,,,,,,"   67",",,W","  116",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
