"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00003195","2018-07-06","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    0","T,,W",,,,,"  322",",,W","  167",",,W","   35",",,W",,,,,,,,,,,"   60",",,W","   90",",,W","   89",",,W","  125",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-07","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    0",",,W",,,,,"  300",",,W","  139",",,W","   21",",,W",,,,,,,,,,,"  180",",,W","  150",",,W","   94",",,W","  134",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-08","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","   15",",,W",,,,,"  311",",,W","  117",",,W","   22",",,W",,,,,,,,,,,"   40",",,W","   40",",,W","   89",",,W","  112",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-09","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","   71",",,W",,,,,"  306",",,W","  133",",,W","   28",",,W",,,,,,,,,,,"   90",",,W","  120",",,W","  107",",,W","  161",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-10","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    5",",,W",,,,,"  250",",,W","  111",",,W","   24",",,W",,,,,,,,,,,"  160",",,W","  150",",,W","   72",",,W","   98",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-11","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","   79",",,W",,,,,"  272",",,W","  144",",,W","   18",",,W",,,,,,,,,,,"  210",",,W","  210",",,W","   72",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-12","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","   53",",,W",,,,,"  222",",,W","  133",",,W","   18",",,W",,,,,,,,,,,"  220",",,W","  220",",,W","   72",",,W","   85",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-13","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    0",",,W","    0",",,W","    0",",,W","  289",",,W","  144",",,W","   18",",,W",,,,,,,,,,,"  220",",,W","  230",",,W","   94",",,W","  116",",,W",,,,,"    1",",,W",,,,,,,,,,,,
"USW00003195","2018-07-14","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    5",",,W","    0",",,W","    0",",,W","  267",",,W","  144",",,W","   16",",,W",,,,,,,,,,,"   40",",,W","   40",",,W","   67",",,W","   89",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,
"USW00003195","2018-07-15","35.94611","-112.15472","2013.5","GRAND CANYON NATIONAL PARK AIRPORT, AZ US","    0",",,W","    0",",,W","    0",",,W","  256",",,W","  122",",,W","   10",",,W",,,,,,,,,,,"  230",",,W","  230",",,W","   76",",,W","   98",",,W",,,,,"    1",",,W",,,,,,,,,,,,
