"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00410691","2018-06-06","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    5",",,7,0800",,,,,"  367",",,7",,,,,,,,,"  137",",,7,0800",,,,,,,,,,,"  272",",,7,0800","  278",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-07","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  367",",,7","  239",",,7",,,,,,,"   97",",,7,0800",,,,,,,,,,,"  278",",,7,0800","  143",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-08","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  356",",,7","  222",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  233",",,7,0800","  219",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-09","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  350",",,7","  228",",,7",,,,,,,"   94",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  179",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-10","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  350",",,7","  222",",,7",,,,,,,"   33",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  190",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-11","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  356",",,7","  239",",,7",,,,,,,"  241",",,7,0800",,,,,,,,,,,"  256",",,7,0800","  283",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-12","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  361",",,7","  244",",,7",,,,,,,"   71",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  256",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-13","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  356",",,7","  239",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,"  250",",,7,0800","  196",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-14","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  361",",,7","  200",",,7",,,,,,,"  109",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  204",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-15","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  350",",,7","  222",",,7",,,,,,,"   18",",,7,0800",,,,,,,,,,,"  233",",,7,0800","  187",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-16","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  344",",,7","  228",",,7",,,,,,,"  241",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  241",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-17","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  339",",,7","  222",",,7",,,,,,,"   97",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  175",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-18","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  328",",,7","  233",",,7",,,,,,,"   69",",,7,0800",,,,,,,,,,,"  239",",,7,0800","  151",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-19","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  317",",,7","  217",",,7",,,,,,,"   46",",,7,0800",,,,,,,,,,,"  228",",,7,0800","  174",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-20","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  317",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,"  148",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-21","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","  353",",,7,0800",,,,,"  344",",,7","  222",",,7",,,,,,,"  114",",,7,0800",,,,,,,,,,,"  244",",,7,0800","   87",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-22","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  367",",,7","  244",",,7",,,,,,,"   69",",,7,0800",,,,,,,,,,,"  272",",,7,0800","  119",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-23","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","  109",",,7,0800",,,,,"  389",",,7","  267",",,7",,,,,,,"    0",",,7,0800",,,,,,,,,,,"  272",",,7,0800","  182",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-24","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  367",",,7","  267",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  267",",,7,0800","  248",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-25","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    3",",,7,0800",,,,,"  372",",,7","  222",",,7",,,,,,,"   76",",,7,0800",,,,,,,,,,,"  222",",,7,0800","  270",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-26","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  350",",,7","  222",",,7",,,,,,,"  117",",,7,0800",,,,,,,,,,,"  244",",,7,0800","  188",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-27","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  372",",,7","  244",",,7",,,,,,,"  109",",,7,0800",,,,,,,,,,,"  261",",,7,0800","  127",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-28","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  383",",,7","  244",",,7",,,,,,,"  119",",,7,0800",,,,,,,,,,,"  261",",,7,0800","  229",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-29","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  383",",,7","  250",",,7",,,,,,,"  102",",,7,0800",,,,,,,,,,,"  261",",,7,0800","  211",",,7",,,,,,,,,,,,,,,,
"USC00410691","2018-06-30","32.6475","-97.4439","240.8","BENBROOK DAM, TX US","    0",",,7,0800",,,,,"  372",",,7","  250",",,7",,,,,,,"   91",",,7,0800",,,,,,,,,,,"  261",",,7,0800","  278",",,7",,,,,,,,,,,,,,,,
