"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00116FRMN","2018-06-20","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","    0",",,C",,,,,"  326",",,C","  129",",,C",,,"  228",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-21","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","   49",",,C",,,,,"  288",",,C","  169",",,C",,,"  229",",,C",,,,
"CA00116FRMN","2018-06-22","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","  182",",,C",,,,,"  217",",,C","  143",",,C",,,"  180",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-23","50.7","-119.2833","351.0","SALMON ARM CS, BC CA",,,,,,,"  234",",,C",,,,,,,"    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-24","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","    0",",,C",,,,,"  306",",,C","  125",",,C",,,"  216",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-25","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","   82",",,C",,,,,"  266",",,C","  120",",,C",,,"  193",",,C","   18",",,C","  630",",,C"
"CA00116FRMN","2018-06-26","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","    5",",,C",,,,,"  220",",,C","  104",",,C",,,"  162",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-27","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","    0",",,C",,,,,"  210",",,C","   83",",,C",,,"  147",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-28","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","   32",",,C",,,,,"  187",",,C","  101",",,C",,,"  144",",,C","    0",",,C","    0",",,C"
"CA00116FRMN","2018-06-29","50.7","-119.2833","351.0","SALMON ARM CS, BC CA","   79",",,C",,,,,"  207",",,C","  116",",,C",,,"  162",",,C","   36",",,C","  390",",,C"
