"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00367931","2018-07-07","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  122",",,7",,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-08","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  106",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-09","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  111",",,7",,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-10","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  133",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-11","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  156",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-12","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  122",",,7",,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-13","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  128",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-14","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  156",",,7",,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-15","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  156",",,7",,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-16","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","   84",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  200",",,7",,,,,"  206",",,7,0700",,,"    1",",,7","    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-17","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,"  233",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-18","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","  122",",,7,0700","    0",",,7","    0",",,7","  267",",,7","  150",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-19","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,"  128",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-20","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-21","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  139",",,7",,,,,"  194",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-22","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","  767",",,7,0700","    0",",,7","    0",",,7","  217",",,7","  156",",,7",,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-23","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","   89",",,7,0700","    0",",,7","    0",",,7","  250",",,7","  167",",,7",,,,,"  206",",,7,0700",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-24","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US"," 1397",",,7,0700","    0",",,7","    0",",,7","  272",",,7","  200",",,7",,,,,"  217",",,7,0700",,,,,"    1",",,7",,,,,,,,,,,,,,,,,,,,
"USC00367931","2018-07-25","40.7831","-76.8617","128.0","SELINSGROVE 2 S, PA US","  368",",,7,0700","    0",",,7","    0",",,7","  256",",,7","  211",",,7",,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,
