"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00298596","2018-06-02","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  144",",,7",,,,,,,,,"  180",",,7,0800",,,,,,,,,,,,,"  217",",,7,0800","  151",",,7",,,,,,
"USC00298596","2018-06-03","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  322",",,7","  139",",,7",,,,,,,,,"  170",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800","  293",",,7",,,,,,
"USC00298596","2018-06-04","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","   58",",,7,0800","    0",",,7","    0",",,7","  239",",,7","  133",",,7",,,,,,,,,"   81",",,7,0800",,,,,,,,,,,,,"  167",",,7,0800","  190",",,7",,,,,,
"USC00298596","2018-06-05","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  317",",,7","  161",",,7",,,,,,,,,"   97",",,7,0800",,,,,,,,,,,,,"  183",",,7,0800","  100",",,7",,,,,,
"USC00298596","2018-06-06","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  394",",,7","  172",",,7",,,,,,,,,"  135",",,7,0800",,,,,,,,,,,,,"  194",",,7,0800","   84",",,7",,,,,,
"USC00298596","2018-06-07","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  406",",,7","  194",",,7",,,,,,,,,"  130",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","   89",",,7",,,,,,
"USC00298596","2018-06-08","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  389",",,7","  172",",,7",,,,,,,,,"  160",",,7,0800",,,,,,,,,,,,,"  206",",,7,0800","  164",",,7",,,,,,
"USC00298596","2018-06-09","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","  114",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  172",",,7",,,,,,,,,"  152",",,7,0800",,,,,,,,,,,,,"  211",",,7,0800","  188",",,7",,,,,,
"USC00298596","2018-06-10","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  333",",,7","  211",",,7",,,,,,,,,"  109",",,7,0800",,,,,,,,,,,,,"  256",",,7,0800","  150",",,7",,,,,,
"USC00298596","2018-06-11","34.6033","-104.3811","1312.5","SUMNER LAKE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  372",",,7","  172",",,7",,,,,,,,,"  163",",,7,0800",,,,,,,,,,,,,"  222",",,7,0800","  146",",,7",,,,,,
