"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00053841","2018-07-06","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    5",",,W",,,"  311",",,W","  211",",,W","   29",",,W",,,,,,,,,,,"   10",",,W","   10",",,W","   81",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,,"    1",",,W",,
"USW00053841","2018-07-07","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  294",",,W","  167",",,W","   33",",,W",,,,,,,,,,,"   60",",,W","   70",",,W","   63",",,W","   89",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-08","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  328",",,W","  178",",,W","   13",",,W",,,,,,,,,,,"   90",",,W","  100",",,W","   40",",,W","   54",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-09","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  322",",,W","  189",",,W","   11",",,W",,,,,,,,,,,"   70",",,W","  240",",,W","   40",",,W","   67",",,W",,,,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-10","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  333",",,W","  211",",,W","   13",",,W",,,,,,,,,,,"  310",",,W","  300",",,W","   40",",,W","   63",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-11","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  322",",,W","  222",",,W","   24",",,W",,,,,,,,,,,"   50",",,W","  360",",,W","   58",",,W","   94",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-12","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  306",",,W","  167",",,W","   17",",,W",,,,,,,,,,,"   50",",,W","  340",",,W","   54",",,W","   89",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-13","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  328",",,W","  167",",,W","    8",",,W",,,,,,,,,,,"   50",",,W","   50",",,W","   45",",,W","   63",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-14","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  333",",,W","  183",",,W","    9",",,W",,,,,,,,,,,"  150",",,W","  160",",,W","   54",",,W","   67",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-15","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    5",",,W",,,"  294",",,W","  211",",,W","   14",",,W",,,,,,,,,,,"  230",",,W","  230",",,W","   40",",,W","   58",",,W",,,,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-16","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","   18",",,W",,,"  283",",,W","  222",",,W","   22",",,W",,,,,,,,,,,"  200",",,W","  260",",,W","   54",",,W","   76",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-17","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  322",",,W","  222",",,W","   24",",,W",,,,,,,,,,,"  340",",,W","  360",",,W","   67",",,W","   94",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-18","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  311",",,W","  167",",,W","   11",",,W",,,,,,,,,,,"   50",",,W","  260",",,W","   36",",,W","   63",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-19","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  306",",,W","  161",",,W","   10",",,W",,,,,,,,,,,"   90",",,W","  110",",,W","   63",",,W","   85",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-20","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","  691",",,W",,,"  311",",,W","  189",",,W","   40",",,W",,,,,,,,,,,"  280",",,W","  290",",,W","  148",",,W","  259",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-21","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0","T,,W",,,"  283",",,W","  178",",,W","   36",",,W",,,,,,,,,,,"  300",",,W","  250",",,W","   72",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-22","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","  137",",,W",,,"  261",",,W","  200",",,W","   22",",,W",,,,,,,,,,,"   50",",,W","  240",",,W","   45",",,W","   72",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00053841","2018-07-23","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  261",",,W","  189",",,W","   23",",,W",,,,,,,,,,,"  350",",,W","  350",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-24","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  289",",,W","  172",",,W","   14",",,W",,,,,,,,,,,"  330",",,W","  300",",,W","   58",",,W","   81",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-25","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  311",",,W","  172",",,W","   16",",,W",,,,,,,,,,,"  320",",,W","  320",",,W","   58",",,W","   76",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-26","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  306",",,W","  189",",,W","   16",",,W",,,,,,,,,,,"  230",",,W","  230",",,W","   54",",,W","   72",",,W","    1",",,W",,,,,,,,,,,,
"USW00053841","2018-07-27","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0","T,,W",,,"  283",",,W","  178",",,W","   24",",,W",,,,,,,,,,,"  280",",,W","  290",",,W","   67",",,W","  103",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-28","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  272",",,W","  150",",,W","    9",",,W",,,,,,,,,,,"  330",",,W","  320",",,W","   36",",,W","   49",",,W",,,,,,,,,,,,,,
"USW00053841","2018-07-29","38.18472","-84.90333","245.1","FRANKFORT CAPITAL CITY AIRPORT, KY US","    0",",,W",,,"  294",",,W","  161",",,W","    6",",,W",,,,,,,,,,,"  100",",,W","   10",",,W","   40",",,W","   58",",,W","    1",",,W",,,,,,,,,,,,
