"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFI","WDFI_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013880","2018-07-07","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","   10",",,W,2400","    0",",,W,2400","    0",",,W,2400","  333",",,W","  233",",,W",,,,,"   26",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"   50",",,W","   70",",,W",,,,,,,,,,,,,"  125",",,W","  161",",,W",,,,,,,,,"  272",",,7",,,"  306",",,7","    1",",,W",,,"    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-08","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  306",",,W","  217",",,W",,,,,"   41",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"   30",",,W","   30",",,W",,,,,,,,,,,,,"   72",",,W","   98",",,W",,,,,,,,,"  267",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-09","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  317",",,W","  211",",,W",,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"   40",",,W","  350",",,W",,,,,,,,,,,,,"   67",",,W","   98",",,W",,,,,,,,,"  267",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-10","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  344",",,W","  194",",,W",,,,,"   26",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  320",",,W","  280",",,W",,,,,,,,,,,,,"   63",",,W","   81",",,W",,,,,,,,,"  261",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-11","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  350",",,W","  233",",,W",,,,,"   34",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200",",,W","  190",",,W",,,,,,,,,,,,,"   67",",,W","   76",",,W",,,,,,,,,"  256",",,7",,,"  311",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-12","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    5",",,W,2400","    0",",,W,2400","    0",",,W,2400","  356",",,W","  244",",,W",,,,,"   30",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  360",",,W","   10",",,W",,,,,,,,,,,,,"  116",",,W","  152",",,W",,,,,,,,,"  267",",,7",,,"  322",",,7",,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-13","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","   58",",,W,2400","    0",",,W,2400","    0",",,W,2400","  322",",,W","  250",",,W",,,,,"   25",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"   90",",,W","   60",",,W",,,,,,,,,,,,,"   76",",,W","  112",",,W",,,,,,,,,"  278",",,7",,,"  322",",,7","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-14","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  317",",,W","  239",",,W",,,,,"   34",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"   70",",,W","   70",",,W",,,,,,,,,,,,,"   81",",,W","  107",",,W",,,,,,,,,"  272",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-15","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","    0",",,W,2400","    0",",,W,2400","    0",",,W,2400","  328",",,W","  228",",,W",,,,,"   23",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  160",",,W","  140",",,W",,,,,,,,,,,,,"   67",",,W","   81",",,W",,,,,,,,,"  272",",,7",,,"  300",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","2018-07-16","32.89943","-80.04075","12.2","CHARLESTON INTL. AIRPORT, SC US","   20",",,W,2400","    0",",,W,2400","    0",",,W,2400","  317",",,W","  222",",,W",,,,,"   28",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  200",",,W","  210",",,W",,,,,,,,,,,,,"  103",",,W","  134",",,W",,,,,,,,,"  272",",,7",,,"  311",",,7","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
