"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00459200","2017-12-13","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","   15",",,7,0800","    0","T,,7,0800",,,"   -6",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,"  -22",",,7,0800","    3",",,7",,,,,,,,,,,,
"USC00459200","2017-12-14","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    0",",,7,0800",,,,,"  -11",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,"  -17",",,7,0800","    6",",,7",,,,,,,,,,,,
"USC00459200","2017-12-15","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    0",",,7,0800",,,,,"    0",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,"  -11",",,7,0800","    8",",,7",,,,,,,,,,,,
"USC00459200","2017-12-16","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","   43",",,7,0800","   13",",,7,0800","    0","T,,7,0800","    0",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,"  -11",",,7,0800","    6",",,7",,,,,,,,,,,,
"USC00459200","2017-12-18","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US",,,,,,,"  100",",,7","  -28",",,7",,,"    2",",,7",,,,,,,"    0","T,,7",,,,,,,,,"   89",",,7,0800","   42",",,7",,,,,,,,,,,,
"USC00459200","2017-12-19","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","   28",",,7,0800",,,,,"  128",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,,"   44",",,7,0800","   34",",,7",,,,,,,,,,,,
"USC00459200","2017-12-20","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    3",",,7,0800",,,,,"  139",",,7","   28",",,7",,,,,,,,,,,,,,,,,,,,,"   39",",,7,0800","   66",",,7",,,,,,,,,,,,
"USC00459200","2017-12-21","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    0","T,,7,0800",,,,,"   44",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,,"  -67",",,7,0800","   47",",,7",,,,,,,,,,,,
"USC00459200","2017-12-22","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    0",",,7,0800",,,,,"   44",",,7","  -72",",,7",,,,,,,,,,,,,,,,,,,,,"    0",",,7,0800","    8",",,7",,,,,,,,,,,,
"USC00459200","2017-12-23","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","   61",",,7,0800","   81",",,7,0800","   76",",,7,0800","    6",",,7","  -50",",,7",,,,,,,,,,,,,,,,,,,,,"  -50",",,7,0800","   18",",,7",,,,,,,,,,,,
"USC00459200","2017-12-26","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US",,,"   51",",,7,0800","  127",",,7,0800","  -22",",,7"," -178",",,7",,,"    3",",,7",,,,,,,"   79",",,7",,,,,,,,,"  -67",",,7,0800","    6",",,7",,,,,,,,,,,,
"USC00459200","2017-12-27","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","    8",",,7,0800","   25",",,7,0800","  127",",,7,0800","  -33",",,7","  -67",",,7",,,,,,,,,,,,,,,,,,,,,"  -56",",,7,0800","    6",",,7",,,,,,,,,,,,
"USC00459200","2017-12-28","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","   18",",,7,0800","    8",",,7,0800","  127",",,7,0800","  -33",",,7","  -56",",,7",,,,,,,,,,,,,,,,,,,,,"  -56",",,7,0800","    3",",,7",,,,,,,,,,,,
"USC00459200","2017-12-29","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","  175",",,7,0800",,,"  102",",,7,0800","   -6",",,7","  -56",",,7",,,,,,,,,,,,,,,,,,,,,"  -11",",,7,0800","   21",",,7",,,,,,,,,,,,
"USC00459200","2017-12-30","46.0436","-118.4628","192.6","WHITMAN MISSION, WA US","  155",",,7,0800",,,"   76",",,7,0800","   83",",,7","  -11",",,7",,,,,,,,,,,,,,,,,,,,,"   83",",,7,0800","   45",",,7",,,,,,,,,,,,
