"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00097083","2018-06-14","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   68",",,a","   92",",,a","   38",",,a",,,,,,,,
"ASN00097083","2018-06-15","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   86",",,a","   68",",,a","   46",",,a",,,,,,,,
"ASN00097083","2018-06-16","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  238",",,a","   72",",,a","   40",",,a",,,,,,,,
"ASN00097083","2018-06-17","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  402",",,a","   77",",,a","   55",",,a",,,,,,,,
"ASN00097083","2018-06-18","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   14",",,a","   93",",,a","   31",",,a",,,,,,,,
"ASN00097083","2018-06-19","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    8",",,a","  105",",,a","   14",",,a",,,,,,,,
"ASN00097083","2018-06-20","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    4",",,a","   69",",,a","    7",",,a",,,,,,,,
"ASN00097083","2018-06-21","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   18",",,a","  107",",,a","   24",",,a",,,,,,,,
"ASN00097083","2018-06-22","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   18",",,a","   98",",,a","   46",",,a",,,,,,,,
"ASN00097083","2018-06-23","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  124",",,a","   73",",,a","   43",",,a",,,,,,,,
"ASN00097083","2018-06-24","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  136",",,a","   72",",,a","   44",",,a",,,,,,,,
"ASN00097083","2018-06-25","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  176",",,a","   97",",,a","   53",",,a",,,,,,,,
"ASN00097083","2018-06-26","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    6",",,a","  113",",,a","   55",",,a",,,,,,,,
"ASN00097083","2018-06-27","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   10",",,a","  106",",,a","   54",",,a",,,,,,,,
"ASN00097083","2018-06-28","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    6",",,a","   96",",,a","    6",",,a",,,,,,,,
"ASN00097083","2018-06-29","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   70",",,a","   91",",,a","   13",",,a",,,,,,,,
"ASN00097083","2018-06-30","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    6",",,a","   71",",,a","   38",",,a",,,,,,,,
"ASN00097083","2018-07-01","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  114",",,a","   96",",,a","   34",",,a",,,,,,,,
"ASN00097083","2018-07-02","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   22",",,a","  117",",,a","   58",",,a",,,,,,,,
"ASN00097083","2018-07-03","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    0",",,a","  101",",,a","   65",",,a",,,,,,,,
"ASN00097083","2018-07-04","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   20",",,a","  108",",,a","   64",",,a",,,,,,,,
"ASN00097083","2018-07-05","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  116",",,a","  128",",,a","   75",",,a",,,,,,,,
"ASN00097083","2018-07-06","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  200",",,a","   67",",,a","   49",",,a",,,,,,,,
"ASN00097083","2018-07-07","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  302",",,a","   66",",,a","   33",",,a",,,,,,,,
"ASN00097083","2018-07-08","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  264",",,a","   54",",,a","   18",",,a",,,,,,,,
"ASN00097083","2018-07-09","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  226",",,a","   83",",,a","   25",",,a",,,,,,,,
"ASN00097083","2018-07-10","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   16",",,a","   80",",,a","   43",",,a",,,,,,,,
"ASN00097083","2018-07-11","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   14",",,a","  113",",,a","   53",",,a",,,,,,,,
"ASN00097083","2018-07-12","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    4",",,a","  107",",,a","   19",",,a",,,,,,,,
"ASN00097083","2018-07-13","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   14",",,a","   93",",,a","   30",",,a",,,,,,,,
"ASN00097083","2018-07-14","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   18",",,a","  110",",,a","   20",",,a",,,,,,,,
"ASN00097083","2018-07-15","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","    6",",,a","   96",",,a","   15",",,a",,,,,,,,
"ASN00097083","2018-07-16","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","   68",",,a","  124",",,a","   23",",,a",,,,,,,,
"ASN00097083","2018-07-17","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  160",",,a","  133",",,a","   59",",,a",,,,,,,,
"ASN00097083","2018-07-18","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  154",",,a","   87",",,a","   30",",,a",,,,,,,,
"ASN00097083","2018-07-19","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  436",",,a","   69",",,a","   45",",,a",,,,,,,,
"ASN00097083","2018-07-20","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  210",",,a","   48",",,a","   18",",,a",,,,,,,,
"ASN00097083","2018-07-21","-43.0425","146.2722","408.0","SCOTTS PEAK DAM, AS","  172",",,a","   75",",,a","   22",",,a",,,,,,,,
