"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00061078","2018-07-06","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  252",",,a","   97",",,a",,,,,,,,,,,"  166","H,,S"
"ASN00061078","2018-07-07","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  174",",,a","   70",",,a",,,,,,,,,,,"  120","H,,S"
"ASN00061078","2018-07-08","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  160",",,a","   87",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00061078","2018-07-09","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  175",",,a","   87",",,a",,,,,,,,,,,"  117","H,,S"
"ASN00061078","2018-07-10","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  166",",,a","   72",",,a",,,,,,,,,,,"   86","H,,S"
"ASN00061078","2018-07-11","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  184",",,a","   20",",,a",,,,,,,,,,,"  102","H,,S"
"ASN00061078","2018-07-12","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  190",",,a","   37",",,a",,,,,,,,,,,"  102","H,,S"
"ASN00061078","2018-07-13","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  166",",,a","   35",",,a",,,,,,,,,,,"  101","H,,S"
"ASN00061078","2018-07-14","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  167",",,a","   56",",,a",,,,,,,,,,,"   75","H,,S"
"ASN00061078","2018-07-15","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  177",",,a","    7",",,a",,,,,,,,,,,"   73","H,,S"
"ASN00061078","2018-07-16","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  171",",,a","   -9",",,a",,,,,,,,,,,"  113","H,,S"
"ASN00061078","2018-07-17","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  214",",,a","   54",",,a",,,,,,,,,,,"  150","H,,S"
"ASN00061078","2018-07-18","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  224",",,a","   73",",,a",,,,,,,,,,,"  115","H,,S"
"ASN00061078","2018-07-19","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  226",",,a","   19",",,a",,,,,,,,,,,"  126","H,,S"
"ASN00061078","2018-07-20","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  222",",,a","   23",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00061078","2018-07-21","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  166",",,a","   42",",,a",,,,,,,,,,,"   75","H,,S"
"ASN00061078","2018-07-22","-32.7932","151.8359","9.0","WILLIAMTOWN RAAF, AS","    0",",,a","  173",",,a","   -2",",,a",,,,,,,,,,,"   79","H,,S"
