"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00305606","2018-07-06","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   51",",,7,1800","    0",",,7,1800","    0",",,7,1800","  289",",,7","  228",",,7","  267",",,7,1800"
"USC00305606","2018-07-07","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  289",",,7","  167",",,7","  217",",,7,1800"
"USC00305606","2018-07-08","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  267",",,7","  122",",,7","  256",",,7,1800"
"USC00305606","2018-07-09","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  150",",,7","  267",",,7,1800"
"USC00305606","2018-07-10","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  317",",,7","  206",",,7","  300",",,7,1800"
"USC00305606","2018-07-11","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  217",",,7","  267",",,7,1800"
"USC00305606","2018-07-12","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  189",",,7","  267",",,7,1800"
"USC00305606","2018-07-13","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  283",",,7","  161",",,7","  256",",,7,1800"
"USC00305606","2018-07-14","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800",,,,,,
"USC00305606","2018-07-15","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800",,,,,,
"USC00305606","2018-07-16","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800",,,,,,
"USC00305606","2018-07-17","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  399",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  267",",,7","  289",",,7,1800"
"USC00305606","2018-07-18","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  322",",,7","  211",",,7","  244",",,7,1800"
"USC00305606","2018-07-19","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  261",",,7","  161",",,7","  250",",,7,1800"
"USC00305606","2018-07-20","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800",,,,,,
"USC00305606","2018-07-21","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  256",",,7","  161",",,7","  217",",,7,1800"
"USC00305606","2018-07-22","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  208",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  194",",,7","  244",",,7,1800"
"USC00305606","2018-07-23","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  127",",,7,1800","    0",",,7,1800","    0",",,7,1800","  311",",,7","  239",",,7","  278",",,7,1800"
"USC00305606","2018-07-24","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  261",",,7","  278",",,7,1800"
"USC00305606","2018-07-25","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   53",",,7,1800","    0",",,7,1800","    0",",,7,1800","  289",",,7","  250",",,7","  267",",,7,1800"
"USC00305606","2018-07-26","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   69",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  261",",,7","  289",",,7,1800"
"USC00305606","2018-07-27","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    3",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  239",",,7","  272",",,7,1800"
"USC00305606","2018-07-28","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    8",",,7,1800","    0",",,7,1800","    0",",,7,1800","  283",",,7","  217",",,7","  283",",,7,1800"
"USC00305606","2018-07-29","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  283",",,7","  222",",,7","  256",",,7,1800"
"USC00305606","2018-07-30","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  200",",,7","  239",",,7,1800"
"USC00305606","2018-07-31","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  183",",,7","  261",",,7,1800"
"USC00305606","2018-08-01","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   28",",,7,1800","    0",",,7,1800","    0",",,7,1800","  289",",,7","  172",",,7","  283",",,7,1800"
"USC00305606","2018-08-02","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  267",",,7","  283",",,7,1800"
"USC00305606","2018-08-03","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   15",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  267",",,7","  272",",,7,1800"
"USC00305606","2018-08-04","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  246",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  261",",,7","  272",",,7,1800"
"USC00305606","2018-08-05","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    5",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  233",",,7","  300",",,7,1800"
"USC00305606","2018-08-06","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  328",",,7","  233",",,7","  311",",,7,1800"
"USC00305606","2018-08-07","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  311",",,7","  250",",,7","  283",",,7,1800"
"USC00305606","2018-08-08","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   51",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  233",",,7","  306",",,7,1800"
"USC00305606","2018-08-09","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   18",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  256",",,7","  294",",,7,1800"
"USC00305606","2018-08-10","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  200",",,7","  294",",,7,1800"
"USC00305606","2018-08-11","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  213",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  244",",,7","  289",",,7,1800"
"USC00305606","2018-08-12","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   51",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  244",",,7","  261",",,7,1800"
"USC00305606","2018-08-13","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  142",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  244",",,7","  300",",,7,1800"
"USC00305606","2018-08-14","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    5",",,7,1800","    0",",,7,1800","    0",",,7,1800","  328",",,7","  261",",,7","  261",",,7,1800"
"USC00305606","2018-08-15","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   81",",,7,1800","    0",",,7,1800","    0",",,7,1800","  289",",,7","  222",",,7","  283",",,7,1800"
"USC00305606","2018-08-16","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  233",",,7","  289",",,7,1800"
"USC00305606","2018-08-17","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  233",",,7","  289",",,7,1800"
"USC00305606","2018-08-18","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  196",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  233",",,7","  278",",,7,1800"
"USC00305606","2018-08-19","40.933","-73.0191","15.2","MOUNT SINAI, NY US","  231",",,7,1800","    0",",,7,1800","    0",",,7,1800","  283",",,7","  217",",,7","  228",",,7,1800"
"USC00305606","2018-08-20","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    8",",,7,1800","    0",",,7,1800","    0",",,7,1800","  233",",,7","  200",",,7","  233",",,7,1800"
"USC00305606","2018-08-21","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  250",",,7","  172",",,7","  233",",,7,1800"
"USC00305606","2018-08-22","40.933","-73.0191","15.2","MOUNT SINAI, NY US","   33",",,7,1800","    0",",,7,1800","    0",",,7,1800","  283",",,7","  211",",,7","  272",",,7,1800"
"USC00305606","2018-08-23","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  200",",,7","  239",",,7,1800"
"USC00305606","2018-08-24","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  144",",,7","  217",",,7,1800"
"USC00305606","2018-08-25","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  261",",,7","  161",",,7","  244",",,7,1800"
"USC00305606","2018-08-26","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  267",",,7","  139",",,7","  250",",,7,1800"
"USC00305606","2018-08-27","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  294",",,7","  222",",,7","  289",",,7,1800"
"USC00305606","2018-08-28","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  328",",,7","  250",",,7","  311",",,7,1800"
"USC00305606","2018-08-29","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  333",",,7","  250",",,7","  317",",,7,1800"
"USC00305606","2018-08-30","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  317",",,7","  261",",,7","  300",",,7,1800"
"USC00305606","2018-08-31","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  217",",,7","  233",",,7,1800"
"USC00305606","2018-09-01","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  239",",,7","  194",",,7","  233",",,7,1800"
"USC00305606","2018-09-02","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  272",",,7","  172",",,7","  239",",,7,1800"
"USC00305606","2018-09-03","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  317",",,7","  233",",,7","  261",",,7,1800"
"USC00305606","2018-09-04","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  306",",,7","  233",",,7","  261",",,7,1800"
"USC00305606","2018-09-05","40.933","-73.0191","15.2","MOUNT SINAI, NY US","    0",",,7,1800","    0",",,7,1800","    0",",,7,1800","  300",",,7","  233",",,7","  272",",,7,1800"
