"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00246615","2018-06-08","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  267",",,H","    0",",,H",,,,,,,,,"   56",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-09","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  256",",,H","   28",",,H",,,,,,,,,"   39",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-10","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  233",",,H","   39",",,H",,,,,,,,,"   67",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-11","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  128",",,H","    0",",,H",,,,,,,,,"    0",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-12","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  139",",,H","  -17",",,H",,,,,,,,,"  -17",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-13","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  183",",,H","  -17",",,H",,,,,,,,,"   50",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-14","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  194",",,H","    6",",,H",,,,,,,,,"   17",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-15","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  161",",,H","  -17",",,H",,,,,,,,,"  -17",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-16","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  222",",,H","  -17",",,H",,,,,,,,,"   50",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-17","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  122",",,H","   44",",,H",,,,,,,,,"   67",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-18","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  183",",,H","   33",",,H",,,,,,,,,"   56",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-19","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  144",",,H","   56",",,H",,,,,,,,,"   89",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-20","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  217",",,H","   22",",,H",,,,,,,,,"   28",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-21","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  256",",,H","   28",",,H",,,,,,,,,"   39",",,H,",,,,,,,,,,,,,,,,,,,,,,
"USC00246615","2018-06-22","48.7647","-114.2842","1072.9","POLEBRIDGE, MT US",,,,,,,"  267",",,H","   39",",,H",,,,,,,,,"  100",",,H,",,,,,,,,,,,,,,,,,,,,,,
