"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200361","2018-02-18","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0","T,,7,0630","    5",",,7,0630","   51",",,7,0630","    0",",,7","  -56",",,7",,,,,,,"  -11",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-19","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0",",,7,0630","    0",",,7,0630","   51",",,7,0630","   44",",,7","  -11",",,7",,,,,,,"   11",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-20","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","  178",",,7,0630","    0",",,7,0630","    0","T,,7,0630","  100",",,7","   11",",,7",,,,,,,"  100",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-21","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","  269",",,7,0630","    0",",,7,0630","    0",",,7,0630","  150",",,7","   11",",,7",,,,,,,"   17",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-23","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US",,,"    0",",,7,0630","    0",",,7,0630","   61",",,7","  -28",",,7","    2",",,7","   20",",,7",,,"   61",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-24","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   61",",,7","  -11",",,7",,,,,,,"    6",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-25","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","   15",",,7,0630","    0",",,7,0630","    0",",,7,0630","   83",",,7","   -6",",,7",,,,,,,"   50",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-26","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   61",",,7","  -11",",,7",,,,,,,"   -6",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-27","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","   94",",,7","   -6",",,7",,,,,,,"    6",",,7,0630",,,,,,,,,,,,,,
"USC00200361","2018-02-28","43.6252","-84.0188","184.4","AUBURN 2 NE, MI US","    0",",,7,0630","    0",",,7,0630","    0",",,7,0630","  178",",,7","    6",",,7",,,,,,,"   67",",,7,0630",,,,,,,,,,,,,,
