"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV07","WV07_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00024157","2018-07-17","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  356",",,W","  183",",,W",,,,,"   38",",,W",,,,,,,,,,,,,,,,,,,,,"  266","H,,S",,,,,"  220",",,W","  210",",,W",,,,,,,,,,,"   81",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-18","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  317",",,W","  189",",,W",,,,,"   50",",,W",,,,,,,,,,,,,,,,,,,,,"  263","H,,S",,,,,"  220",",,W","  210",",,W",,,,,,,,,,,"   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-19","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  300",",,W","  144",",,W",,,,,"   49",",,W",,,,,,,,,,,,,,,,,,,,,"  240","H,,S",,,,,"  220",",,W","  220",",,W",,,,,,,,,,,"  103",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-20","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  272",",,W","  133",",,W",,,,,"   50",",,W",,,,,,,,,,,,,,,,,,,,,"  214","H,,S",,,,,"  230",",,W","  220",",,W",,,,,,,,,,,"   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-21","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  272",",,W","  117",",,W",,,,,"   41",",,W",,,,,,,,,,,,,,,,,,,,,"  201","H,,S",,,,,"  230",",,W","  230",",,W",,,,,,,,,,,"   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-22","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  294",",,W","  133",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,,,,,"  212","H,,S",,,,,"  250",",,W","  220",",,W",,,,,,,,,,,"   54",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-23","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  322",",,W","  150",",,W",,,,,"   14",",,W",,,,,,,,,,,,,,,,,,,,,"  236","H,,S",,,,,"  220",",,W","  220",",,W",,,,,,,,,,,"   54",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-24","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  339",",,W","  161",",,W",,,,,"   29",",,W",,,,,,,,,,,,,,,,,,,,,"  259","H,,S",,,,,"  240",",,W","  240",",,W",,,,,,,,,,,"   89",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-25","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  344",",,W","  172",",,W",,,,,"   23",",,W",,,,,,,,,,,,,,,,,,,,,"  264","H,,S",,,,,"  280",",,W","  280",",,W",,,,,,,,,,,"   63",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024157","2018-07-26","47.6216","-117.528","717.2","SPOKANE INTERNATIONAL AIRPORT, WA US","    0",",,W,2400","    0",",,W,","    0",",,W,","  344",",,W","  178",",,W",,,,,"   24",",,W",,,,,,,,,,,,,,,,,,,,,"  264","H,,S",,,,,"   20",",,W","  310",",,W",,,,,,,,,,,"   58",",,W","   67",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
