"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00051964","2018-07-06","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  278",",,7","   83",",,7",,,,,"  133",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-07","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  100",",,7",,,,,"  139",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-08","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  111",",,7",,,,,"  183",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-09","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  111",",,7",,,,,"  178",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-10","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  122",",,7",,,,,"  144",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-11","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    5",",,7,2400","    0",",,7,2400","    0",",,7,2400","  300",",,7","  111",",,7",,,,,"  139",",,7,2400",,,"    1",",,7",,,,,,,,
"USC00051964","2018-07-12","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","    3",",,7,2400","    0",",,7,2400","    0",",,7,2400","  294",",,7","  111",",,7",,,,,"  156",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-13","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","   18",",,7,2400","    0",",,7,2400","    0",",,7,2400","  289",",,7","  106",",,7",,,,,"  128",",,7,2400","    1",",,7",,,,,,,,,,
"USC00051964","2018-07-14","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","   10",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  106",",,7",,,,,"  167",",,7,2400",,,,,,,,,,,,
"USC00051964","2018-07-15","37.9806","-105.6897","2439.6","CRESTONE 2 SE, CO US","   20",",,7,2400","    0",",,7,2400","    0",",,7,2400","  267",",,7","  117",",,7",,,,,"  122",",,7,2400",,,,,,,,,,,,
