"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00018116","2018-06-13","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","   12",",,a","  143",",,a","   99",",,a",,,,,,,,,,
"ASN00018116","2018-06-14","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","   10",",,a","  160",",,a","   90",",,a",,,,,,,,,,
"ASN00018116","2018-06-15","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","   48",",,a","  154",",,a","   91",",,a",,,,,,,,,,
"ASN00018116","2018-06-16","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    6",",,a","  140",",,a","   76",",,a",,,,,,,,,,
"ASN00018116","2018-06-17","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  137",",,a","   53",",,a",,,,,,,,,,
"ASN00018116","2018-06-18","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    4",",,a","  132",",,a","   71",",,a",,,,,,,,,,
"ASN00018116","2018-06-19","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    2",",,a","  123",",,a","   12",",,a",,,,,,,,,,
"ASN00018116","2018-06-20","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  142",",,a","   76",",,a",,,,,,,,,,
"ASN00018116","2018-06-21","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  145",",,a","   96",",,a",,,,,,,,,,
"ASN00018116","2018-06-22","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  168",",,a","   42",",,a",,,,,,,,,,
"ASN00018116","2018-06-23","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  166",",,a","   55",",,a",,,,,,,,,,
"ASN00018116","2018-06-24","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  149",",,a","   62",",,a",,,,,,,,,,
"ASN00018116","2018-06-25","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  140",",,a","   62",",,a",,,,,,,,,,
"ASN00018116","2018-06-26","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  129",",,a","   53",",,a",,,,,,,,,,
"ASN00018116","2018-06-27","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  142",",,a","   35",",,a",,,,,,,,,,
"ASN00018116","2018-06-28","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  158",",,a","   50",",,a",,,,,,,,,,
"ASN00018116","2018-06-29","-33.7081","136.5026","175.0","CLEVE AERODROME, AS",,,"  144",",,a","   88",",,a",,,,,,,,,,
"ASN00018116","2018-06-30","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    8",",,a","  139",",,a","   51",",,a",,,,,,,,,,
"ASN00018116","2018-07-01","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  158",",,a","   49",",,a",,,,,,,,,,
"ASN00018116","2018-07-02","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  164",",,a","   55",",,a",,,,,,,,,,
"ASN00018116","2018-07-03","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  200",",,a","   99",",,a",,,,,,,,,,
"ASN00018116","2018-07-04","-33.7081","136.5026","175.0","CLEVE AERODROME, AS","    0",",,a","  210",",,a","  123",",,a",,,,,,,,,,
