"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00397545","2018-07-07","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  194",",,7",,,,,,,,,"  222",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-08","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  222",",,7",,,,,,,,,,,,,,,,,,,,,,,,
"USC00397545","2018-07-09","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  183",",,7",,,,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-10","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  200",",,7",,,,,,,,,"  217",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-11","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  206",",,7",,,,,,,,,"  244",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-12","45.50999","-100.03555","581.6","SELBY, SD US","   13",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  183",",,7",,,,,,,,,"  189",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00397545","2018-07-13","45.50999","-100.03555","581.6","SELBY, SD US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  156",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-14","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  161",",,7",,,,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,
"USC00397545","2018-07-15","45.50999","-100.03555","581.6","SELBY, SD US","   84",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  161",",,7",,,,,,,,,"  161",",,7,0700",,,"    1",",,7",,,,,,,,,,
"USC00397545","2018-07-16","45.50999","-100.03555","581.6","SELBY, SD US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  156",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,
