"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00238466","2018-06-14","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  317",",,7","  217",",,7",,,,,,,,,"   71",",,7,0730",,,,,,,,,,,"  228",",,7,0730",,
"USC00238466","2018-06-15","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  222",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,"  244",",,7,0730",,
"USC00238466","2018-06-16","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","   10",",,7,0730",,,,,"  333",",,7","  233",",,7",,,,,,,,,"   51",",,7,0730",,,,,,,,,,,"  244",",,7,0730",,
"USC00238466","2018-06-17","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  244",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,"  250",",,7,0730",,
"USC00238466","2018-06-18","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  333",",,7","  250",",,7",,,,,,,,,"   66",",,7,0730",,,,,,,,,,,"  250",",,7,0730",,
"USC00238466","2018-06-19","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  333",",,7","  233",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,"  244",",,7,0730",,
"USC00238466","2018-06-20","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  328",",,7","  217",",,7",,,,,,,,,,,,,,,,,,,,,"  239",",,7,0730",,
"USC00238466","2018-06-21","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","  157",",,7,0730",,,,,"  311",",,7","  189",",,7",,,,,,,,,"   20",",,7,0730",,,,,,,,,,,"  189",",,7,0730",,
"USC00238466","2018-06-22","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","   13",",,7,0730",,,,,"  256",",,7","  183",",,7",,,,,,,,,"   30",",,7,0730",,,,,,,,,,,"  194",",,7,0730",,
"USC00238466","2018-06-23","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  250",",,7","  183",",,7",,,,,,,,,"   30",",,7,0730",,,,,,,,,,,"  194",",,7,0730",,
"USC00238466","2018-06-24","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  294",",,7","  189",",,7",,,,,,,,,"   66",",,7,0730",,,,,,,,,,,"  200",",,7,0730",,
"USC00238466","2018-06-25","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","   79",",,7,0730",,,,,"  222",",,7","  189",",,7",,,,,,,,,,,,,,,,,,,,,"  200",",,7,0730",,
"USC00238466","2018-06-26","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","  457",",,7,0730",,,,,"  294",",,7","  200",",,7",,,,,,,,,,,,,,,,,,,,,"  211",",,7,0730",,
"USC00238466","2018-06-27","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  311",",,7","  183",",,7",,,,,,,,,,,,,,,,,,,,,"  211",",,7,0730",,
"USC00238466","2018-06-28","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  322",",,7","  211",",,7",,,,,,,,,"   51",",,7,0730",,,,,,,,,,,"  250",",,7,0730",,
"USC00238466","2018-06-29","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  361",",,7","  211",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,,,"  261",",,7,0730",,
"USC00238466","2018-06-30","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  250",",,7",,,,,,,,,"   81",",,7,0730",,,,,,,,,,,"  256",",,7,0730",,
"USC00238466","2018-07-01","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    3",",,7,0730",,,,,"  344",",,7","  233",",,7",,,,,,,,,"   74",",,7,0730",,,,,,,,,"  289",",,7","  233",",,7,0730",,
"USC00238466","2018-07-02","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","   41",",,7,0730",,,,,"  289",",,7","  206",",,7",,,,,,,,,"    5",",,7,0730",,,,,,,,,"  294",",,7","  211",",,7,0730",,
"USC00238466","2018-07-03","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  322",",,7","  211",",,7",,,,,,,,,"   46",",,7,0730",,,,,,,,,"  289",",,7","  239",",,7,0730",,
"USC00238466","2018-07-04","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  339",",,7","  211",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,"  294",",,7","  233",",,7,0730",,
"USC00238466","2018-07-05","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  228",",,7",,,,,,,,,"   71",",,7,0730",,,,,,,,,"  300",",,7","  239",",,7,0730",,
"USC00238466","2018-07-06","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  233",",,7",,,,,,,,,"   61",",,7,0730",,,,,,,,,"  306",",,7","  239",",,7,0730",,
"USC00238466","2018-07-07","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  322",",,7","  194",",,7",,,,,,,,,"   64",",,7,0730",,,,,,,,,"  289",",,7","  206",",,7,0730",,
"USC00238466","2018-07-08","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  311",",,7","  150",",,7",,,,,,,,,"   81",",,7,0730",,,,,,,,,"  283",",,7","  167",",,7,0730",,
"USC00238466","2018-07-09","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  317",",,7","  167",",,7",,,,,,,,,"   58",",,7,0730",,,,,,,,,"  289",",,7","  239",",,7,0730",,
"USC00238466","2018-07-10","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  228",",,7",,,,,,,,,"   56",",,7,0730",,,,,,,,,"  294",",,7","  244",",,7,0730",,
"USC00238466","2018-07-11","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  361",",,7","  233",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,"  294",",,7","  256",",,7,0730",,
"USC00238466","2018-07-12","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  372",",,7","  239",",,7",,,,,,,,,"   64",",,7,0730",,,,,,,,,"  289",",,7","  250",",,7,0730",,
"USC00238466","2018-07-13","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  383",",,7","  250",",,7",,,,,,,,,"   86",",,7,0730",,,,,,,,,"  306",",,7","  256",",,7,0730",,
"USC00238466","2018-07-14","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  361",",,7","  233",",,7",,,,,,,,,"   94",",,7,0730",,,,,,,,,"  306",",,7","  250",",,7,0730",,
"USC00238466","2018-07-15","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","  216",",,7,0730",,,,,"  322",",,7","  233",",,7",,,,,,,,,"   51",",,7,0730",,,,,,,,,"  306",",,7","  239",",,7,0730",,
"USC00238466","2018-07-16","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  344",",,7","  239",",,7",,,,,,,,,"   76",",,7,0730",,,,,,,,,"  306",",,7","  244",",,7,0730",,
"USC00238466","2018-07-17","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","    0",",,7,0730",,,,,"  339",",,7","  233",",,7",,,,,,,,,"   66",",,7,0730",,,,,,,,,"  306",",,7","  244",",,7,0730",,
"USC00238466","2018-07-18","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US"," 1608",",,7,0730",,,,,,,"  217",",,7",,,,,,,,,,,,,,,,,,,"  294",",,7","  222",",,7,0730",,
"USC00238466","2018-07-19","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","  315",",,7,0730",,,,,"  300",",,7","  222",",,7",,,,,,,,,"   30",",,7,0730",,,,,,,,,"  289",",,7","  228",",,7,0730",,
