"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"UKW00035047","2018-06-17","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  193",",,S","  117",",,S",,,"  152","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-18","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  232",",,S","  140",",,S",,,"  177","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-19","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  155",",,S",,,"  188","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-20","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  138",",,S",,,"  191","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-21","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  142","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-22","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   91",",,S",,,"  134","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-23","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"   89",",,S",,,"  157","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-24","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  101",",,S",,,"  151","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-25","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  108",",,S",,,"  171","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-26","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  113",",,S",,,"  159","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-27","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  125",",,S",,,"  144","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-28","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  132",",,S",,,"  164","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-29","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  157","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-06-30","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  131",",,S",,,"  166","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-01","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  152",",,S",,,"  207","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-02","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  228",",,S","  165",",,S",,,"  192","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-03","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  166","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-04","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  206",",,S","  136",",,S",,,"  165","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-05","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  256",",,S","  116",",,S",,,"  195","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-06","51.35","1.36667","44.2","MANSTON, ENG UK",,,,,,,,,,,,,"  173","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-19","51.35","1.36667","44.2","MANSTON, ENG UK",,,,,,,,,,,,,"  208","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-20","51.35","1.36667","44.2","MANSTON, ENG UK","    0","B,,S",,,,,,,,,,,"  184","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-21","51.35","1.36667","44.2","MANSTON, ENG UK","    5",",,S",,,,,,,,,,,"  201","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-22","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  168",",,S",,,"  224","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-23","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  300",",,S","  167",",,S",,,"  227","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-24","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  154",",,S",,,"  221","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-25","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  176",",,S",,,"  222","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-26","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  168",",,S",,,"  242","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-27","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,,,,,"  238","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-28","51.35","1.36667","44.2","MANSTON, ENG UK","  155",",,S",,,,,"  233",",,S",,,,,"  187","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-29","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  191",",,S","  150",",,S",,,"  178","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-30","51.35","1.36667","44.2","MANSTON, ENG UK","   41",",,S",,,,,,,,,,,"  202","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-07-31","51.35","1.36667","44.2","MANSTON, ENG UK","    8",",,S",,,,,,,,,,,"  189","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-01","51.35","1.36667","44.2","MANSTON, ENG UK","   10",",,S",,,,,,,"  134",",,S",,,"  187","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-02","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  252",",,S","  128",",,S",,,"  198","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-03","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  156",",,S",,,"  224","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-04","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  171",",,S",,,"  201","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-05","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  141",",,S",,,"  189","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-06","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  155",",,S",,,"  217","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-07","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  169",",,S",,,"  231","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-08","51.35","1.36667","44.2","MANSTON, ENG UK","    3",",,S",,,,,,,,,,,"  191","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-09","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,"  178",",,S",,,,,"  151","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-10","51.35","1.36667","44.2","MANSTON, ENG UK","  203",",,S",,,,,,,"  103",",,S",,,"  139","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-11","51.35","1.36667","44.2","MANSTON, ENG UK","  107",",,S",,,,,,,"   89",",,S",,,"  155","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-12","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  157",",,S",,,"  196","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-13","51.35","1.36667","44.2","MANSTON, ENG UK","    0",",,S",,,,,,,"  163",",,S",,,"  183","H,,S",,,,,,,,,,,,,,,,,,,,,,
"UKW00035047","2018-08-14","51.35","1.36667","44.2","MANSTON, ENG UK","   13",",,S",,,,,,,"  155",",,S",,,"  189","H,,S",,,,,,,,,,,,,,,,,,,,,,
