"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00146333","2018-04-22","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    3",",,7,0800","    0",",,7,0800","    0",",,7,0800","  122",",,7","   78",",,7",,,,,,,,,"   20",",,7,",,,,,,,,,,,,,"  100",",,7,0800","   85",",,7",,,,
"USC00146333","2018-04-23","39.1174","-95.4101","291.7","PERRY LAKE, KS US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   83",",,7",,,,,,,,,"   41",",,7,",,,,,,,,,"  106",",D,7","  106",",D,7","  122",",,7,0800","  111",",,7",,,,
"USC00146333","2018-04-24","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","   56",",,7",,,,,,,,,"   71",",,7,",,,,,,,,,"  117",",D,7","  117",",D,7","   89",",,7,0800","   74",",,7",,,,
"USC00146333","2018-04-25","39.1174","-95.4101","291.7","PERRY LAKE, KS US","   13",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","   72",",,7",,,,,,,,,"   69",",,7,",,,,,,,,,,,,,"   89",",,7,0800","  127",",,7",,,,
"USC00146333","2018-04-26","39.1174","-95.4101","291.7","PERRY LAKE, KS US","  137",",,7,0800","    0",",,7,0800","    0",",,7,0800","   94",",,7","   39",",,7",,,,,,,,,"   13",",,7,",,,,,,,,,,,,,"   56",",,7,0800","   64",",,7",,,,
"USC00146333","2018-04-27","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   50",",,7",,,,,,,,,"   38",",,7,",,,,,,,,,,,,,"   72",",,7,0800","   63",",,7",,,,
"USC00146333","2018-04-28","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  233",",,7","   72",",,7",,,,,,,,,"   74",",,7,",,,,,,,,,,,,,"   94",",,7,0800","  129",",,7",,,,
"USC00146333","2018-04-29","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  194",",,7","   78",",,7",,,,,,,,,"   81",",,7,",,,,,,,,,"  122",",D,7","  122",",D,7","  161",",,7,0800","  161",",,7",,,,
"USC00146333","2018-04-30","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  217",",,7","  100",",,7",,,,,,,,,"   53",",,7,",,,,,,,,,"  122",",D,7","  122",",D,7","  144",",,7,0800","  259",",,7",,,,
"USC00146333","2018-05-01","39.1174","-95.4101","291.7","PERRY LAKE, KS US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  272",",,7","  144",",,7",,,,,,,,,"  109",",,7,",,,,,,,,,"  133",",D,7","  133",",D,7","  178",",,7,0800","  327",",,7",,,,
"USC00146333","2018-05-02","39.1174","-95.4101","291.7","PERRY LAKE, KS US","  170",",,7,0800","    0",",,7,0800","    0",",,7,0800","  244",",,7","  172",",,7",,,,,,,,,"   61",",,7,",,,,,,,,,"  133",",D,7","  133",",D,7","  211",",,7,0800","  235",",,7",,,,
"USC00146333","2018-05-03","39.1174","-95.4101","291.7","PERRY LAKE, KS US","  203",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  128",",,7",,,,,,,,,"   66",",,7,",,,,,,,,,,,,,"  161",",,7,0800","  159",",,7",,,,
"USC00146333","2018-05-04","39.1174","-95.4101","291.7","PERRY LAKE, KS US","  183",",,7,0800","    0",",,7,0800","    0",",,7,0800","  267",",,7","  133",",,7",,,,,,,,,"   91",",,7,",,,,,,,,,,,,,"  133",",,7,0800","  175",",,7",,,,
"USC00146333","2018-05-05","39.1174","-95.4101","291.7","PERRY LAKE, KS US",,,"    0",",,7,0800","    0",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
