"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USW00012883","1993-12-05","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0","T,,0","    0","P,,0","    0","P,,0","  250",",,0","  172",",,0",,,,,"  194",",,0",,,,,,,,,,,,
"USW00012883","1993-12-06","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  239",",,0","   94",",,0",,,,,"  200",",,0",,,,,,,,,,,,
"USW00012883","1993-12-07","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  239",",,0","   94",",,0",,,,,"  211",",,0",,,,,,,,,,,,
"USW00012883","1993-12-08","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  233",",,0","  106",",,0",,,,,"  217",",,0",,,,,,,,,,,,
"USW00012883","1993-12-09","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  244",",,0","   83",",,0",,,,,"  222",",,0",,,,,,,,,,,,
"USW00012883","1993-12-10","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  256",",,0","  111",",,0",,,,,"  233",",,0",,,,,,,"    1",",,0",,,,
"USW00012883","1993-12-11","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   53",",,0","    0","P,,0","    0","P,,0","  233",",,0","  150",",,0",,,,,"  161",",,0",,,,,,,,,,,,
"USW00012883","1993-12-12","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  178",",,0","   28",",,0",,,,,"  139",",,0",,,,,,,,,,,,
"USW00012883","1993-12-13","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  222",",,0","   33",",,0",,,,,"  206",",,0",,,,,,,,,,,,
"USW00012883","1993-12-14","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    3",",,0","    0","P,,0","    0","P,,0","  217",",,0","  111",",,0",,,,,"  200",",,0",,,,,,,,,,,,
"USW00012883","1993-12-15","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  200",",,0","  117",",,0",,,,,"  150",",,0",,,,,,,,,,,,
"USW00012883","1993-12-16","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  183",",,0","   56",",,0",,,,,"  133",",,0",,,,,,,,,,,,
"USW00012883","1993-12-17","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  228",",,0","   56",",,0",,,,,"  211",",,0",,,,,,,,,,,,
"USW00012883","1993-12-18","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  261",",,0","  106",",,0",,,,,"  222",",,0",,,,,,,,,,,,
"USW00012883","1993-12-19","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  222",",,0","   83",",,0",,,,,"  183",",,0",,,,,,,,,,,,
"USW00012883","1993-12-20","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  244",",,0","   83",",,0",,,,,"  228",",,0",,,,,,,,,,,,
"USW00012883","1993-12-21","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   81",",,0","    0","P,,0","    0","P,,0","  228",",,0","  167",",,0",,,,,"  167",",,0",,,,,,,,,,,,
"USW00012883","1993-12-22","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  211",",,0","   50",",,0",,,,,"  178",",,0",,,,,,,,,,,,
"USW00012883","1993-12-23","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   66",",,0","    0","P,,0","    0","P,,0","  178",",,0","   78",",,0",,,,,"  117",",,0",,,,,,,,,,,,
"USW00012883","1993-12-24","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   10",",,0","    0","P,,0","    0","P,,0","  122",",,0","   56",",,0",,,,,"  100",",,0",,,,,,,"    1",",,0",,,,
"USW00012883","1993-12-25","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","  137",",,0","    0","P,,0","    0","P,,0","  139",",,0","   72",",,0",,,,,"  122",",,0",,,,,,,,,,,,
"USW00012883","1993-12-26","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  161",",,0","   39",",,0",,,,,"  139",",,0",,,,,,,,,,,,
"USW00012883","1993-12-27","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  211",",,0","    0",",,0",,,,,"  194",",,0",,,,,,,,,,,,
"USW00012883","1993-12-28","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  256",",,0","   72",",,0",,,,,"  233",",,0",,,,,,,,,,,,
"USW00012883","1993-12-29","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  267",",,0","   94",",,0",,,,,"  239",",,0",,,,,,,,,,,,
"USW00012883","1993-12-30","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  239",",,0","  133",",,0",,,,,"  178",",,0",,,,,,,,,,,,
"USW00012883","1993-12-31","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","    0",",,0","    0","P,,0","    0","P,,0","  217",",,0","   56",",,0",,,,,"  189",",,0",,,,,,,,,,,,
"USW00012883","1994-01-01","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   23",",,0","    0","P,,0","    0",",,0","  222",",,0","  106",",,0",,,,,"  222",",,0",,,,,,,,,,,,
"USW00012883","1994-01-02","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","   66",",,0","    0","P,,0","    0","P,,0","  233",",,0","  183",",,0",,,,,"  228",",,0",,,,,,,,,,,,
"USW00012883","1994-01-03","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","  198",",,0","    0","P,,0","    0","P,,0","  228",",,0","  156",",,0",,,,,"  189",",,0",,,"    1",",,0",,,,,,,,
