"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA003026KNQ","2018-05-08","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  212",",,C","   77",",,C",,,,,"  145",",,C","   35",",,C","  370",",,C"
"CA003026KNQ","2018-05-09","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"   98",",,C","   35",",,C",,,,,"   67",",,C","   12",",,C","  330",",,C"
"CA003026KNQ","2018-05-10","51.7833","-114.6833","1114.0","SUNDRE A, AB CA",,,,,,,,,"   24",",,C",,,,,,,"    0",",,C","    0",",,C"
"CA003026KNQ","2018-05-11","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    2",",,C",,,,,"  174",",,C","   20",",,C",,,,,"   97",",,C","   36",",,C","  430",",,C"
"CA003026KNQ","2018-05-12","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  228",",,C","  -16",",,C",,,,,"  106",",,C","   28",",,C","  320",",,C"
"CA003026KNQ","2018-05-13","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  225",",,C","   59",",,C",,,,,"  142",",,C","    1",",,C","  330",",,C"
"CA003026KNQ","2018-05-14","51.7833","-114.6833","1114.0","SUNDRE A, AB CA",,,,,,,,,"   -1",",,C",,,,,,,"   25",",,C","  350",",,C"
"CA003026KNQ","2018-05-15","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  287",",,C","   32",",,C",,,,,"  160",",,C","   23",",,C","  320",",,C"
"CA003026KNQ","2018-05-16","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","   41",",,C",,,,,"  238",",,C","   59",",,C",,,,,"  149",",,C","   29",",,C","  520",",,C"
"CA003026KNQ","2018-05-17","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","  177",",,C",,,,,"  100",",,C","   61",",,C",,,,,"   81",",,C","    1",",,C","  330",",,C"
"CA003026KNQ","2018-05-18","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    9",",,C",,,,,"  151",",,C","   55",",,C",,,,,"  103",",,C","   17",",,C","  560",",,C"
"CA003026KNQ","2018-05-19","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  193",",,C","   17",",,C",,,,,"  105",",,C","   14",",,C","  430",",,C"
"CA003026KNQ","2018-05-20","51.7833","-114.6833","1114.0","SUNDRE A, AB CA","    0",",,C",,,,,"  232",",,C","    9",",,C",,,,,"  121",",,C","    1",",,C","  330",",,C"
