"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00328840","2018-05-11","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  106",",,7","   11",",,7",,,,,,,,,"   50",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-12","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  183",",,7","   11",",,7",,,,,,,,,"   39",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-13","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  206",",,7","   39",",,7",,,,,,,,,"   94",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-14","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  244",",,7","   94",",,7",,,,,,,,,"  106",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-15","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  294",",,7","   83",",,7",,,,,,,,,"   83",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-16","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  294",",,7","   61",",,7",,,,,,,,,"  128",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-17","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  344",",,7","  122",",,7",,,,,,,,,"  128",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-18","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  172",",,7","   67",",,7",,,,,,,,,"  100",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-19","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","   91",",,7,0500",,,,,"  100",",,7","   22",",,7",,,,,,,,,"   39",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00328840","2018-05-20","47.5213","-100.8883","577.0","TURTLE LAKE, ND US","    0",",,7,0500",,,,,"  217",",,7","   22",",,7",,,,,,,,,"   72",",,7,0500",,,,,,,,,,,,,,,,,,,,,,,,,,
