"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00299156","2018-07-04","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",L,7,0800","    0",",,7","    0",",,7","  378",",,7","  222",",,7",,,,,,,,,"  152",",,7,0800",,,,,,,,,"  167",",,7","  333",",,7","  278",",,7,0800","  174",",,7",,,,,,,"  267",",,7",,,"  372",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-05","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","   84",",L,7,0800","    0",",,7","    0",",,7","  383",",,7","  178",",,7",,,,,,,,,"  104",",,7,0800",,,,,,,,,"  172",",,7","  333",",,7","  239",",,7,0800","  113",",,7",,,,,,,"  250",",,7",,,"  361",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-06","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    8",",L,7,0800","    0",",,7","    0",",,7","  317",",,7","  178",",,7",,,,,,,,,"   89",",,7,0800",,,,,,,,,"  178",",,7","  306",",,7","  222",",,7,0800","  122",",,7",,,,,,,"  228",",,7",,,"  306",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-07","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",L,7,0800","    0",",,7","    0",",,7","  328",",,7","  161",",,7",,,,,,,,,"   79",",,7,0800",,,,,,,,,"  183",",,7","  350",",,7","  222",",,7,0800","   93",",,7",,,,,,,"  228",",,7",,,"  361",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-08","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",L,7,0800","    0",",,7","    0",",,7","  328",",,7","  178",",,7",,,,,,,,,"  104",",,7,0800",,,,,,,,,"  183",",,7","  339",",,7","  233",",,7,0800","  208",",,7",,,,,,,"  244",",,7",,,"  367",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-09","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",L,7,0800","    0",",,7","    0",",,7","  339",",,7","  172",",,7",,,,,,,,,"   51",",,7,0800",,,,,,,,,"  183",",,7","  328",",,7","  239",",,7,0800","  119",",,7",,,,,,,"  244",",,7",,,"  367",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-10","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",L,7,0800","    0",",,7","    0",",,7","  333",",,7","  183",",,7",,,"   10",",L,N",,,,,"  175",",,7,0800",,,"   91",",L,N",,,,,"  183",",,7","  328",",,7","  228",",,7,0800","   92",",,7",,,,,,,"  250",",,7",,,"  367",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-11","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  344",",,7","  189",",,7",,,,,,,,,"  145",",,7,0800",,,,,,,,,"  189",",,7","  333",",,7","  233",",,7,0800","  159",",,7",,,,,,,"  256",",,7",,,"  372",",,7",,,,,,,,,,,,,,,,,,,,
"USC00299156","2018-07-12","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","  152",",,7,0800","    0",",,7","    0",",,7","  350",",,7","  183",",,7",,,,,,,,,"  160",",,7,0800",,,,,,,,,"  189",",,7","  333",",,7","  222",",,7,0800","  169",",,7",,,,,,,"  256",",,7",,,"  356",",,7",,,"    1",",,7",,,,,,,,,,,,,,,,
"USC00299156","2018-07-13","35.2005","-103.6866","1245.4","TUCUMCARI 4 NE, NM US","    0",",,7,0800","    0",",,7","    0",",,7","  339",",,7","  211",",,7",,,,,,,,,"   89",",,7,0800",,,,,,,,,"  189",",,7","  333",",,7","  250",",,7,0800","  142",",,7",,,,,,,"  289",",,7",,,"  317",",,7",,,,,,,,,,,,,,,,,,,,
