"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00093010","2018-07-06","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  300",",,W","  139",",,W",,,,,"   55",",,W",,,,,,,,,,,"  160",",,W","  150",",,W",,,,,"   98",",,W","  152",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-07","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  328",",,W","  133",",,W",,,,,"   54",",,W",,,,,,,,,,,"  140",",,W","  170",",,W",,,,,"  103",",,W","  152",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-08","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  339",",,W","  128",",,W",,,,,"   45",",,W",,,,,,,,,,,"  140",",,W","  150",",,W",,,,,"  103",",,W","  139",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-09","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  328",",,W","  100",",,W",,,,,"   39",",,W",,,,,,,,,,,"  160",",,W","  140",",,W",,,,,"  103",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-10","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  333",",,W","  106",",,W",,,,,"   57",",,W",,,,,,,,,,,"  140",",,W","  160",",,W",,,,,"  107",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-11","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  333",",,W","  117",",,W",,,,,"   45",",,W",,,,,,,,,,,"  160",",,W","  170",",,W",,,,,"  130",",,W","  179",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-12","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  328",",,W","  128",",,W",,,,,"   35",",,W",,,,,,,,,,,"  210",",,W","  210",",,W",,,,,"  134",",,W","  174",",,W",,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-13","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  300",",,W","  156",",,W",,,,,"   50",",,W",,,,,,,,,,,"  310",",,W","  310",",,W",,,,,"   94",",,W","  121",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-14","39.275","-103.666","1638.0","LIMON, CO US","    0",",,W,",,,,,"  322",",,W","  144",",,W",,,,,"   46",",,W",,,,,,,,,,,"   90",",,W","   90",",,W",,,,,"  125",",,W","  148",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093010","2018-07-15","39.275","-103.666","1638.0","LIMON, CO US","  127",",,W,",,,,,"  250",",,W","  133",",,W",,,,,"   22",",,W",,,,,,,,,,,"  110",",,W",,,,,,,"   40",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
