"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ASN00066037","2018-07-06","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  264",",,a","  138",",,a",,,,,,,,,,,"  167","H,,S"
"ASN00066037","2018-07-07","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  190",",,a","   86",",,a",,,,,,,,,,,"  132","H,,S"
"ASN00066037","2018-07-08","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  177",",,a","   91",",,a",,,,,,,,,,,"  137","H,,S"
"ASN00066037","2018-07-09","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  162",",,a","  100",",,a",,,,,,,,,,,"  118","H,,S"
"ASN00066037","2018-07-10","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  167",",,a","   72",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00066037","2018-07-11","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  183",",,a","   62",",,a",,,,,,,,,,,"  127","H,,S"
"ASN00066037","2018-07-12","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  203",",,a","   74",",,a",,,,,,,,,,,"  123","H,,S"
"ASN00066037","2018-07-13","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    6",",,a",,,"  183",",,a","   57",",,a",,,,,,,,,,,"  121","H,,S"
"ASN00066037","2018-07-14","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  163",",,a","   77",",,a",,,,,,,,,,,"  107","H,,S"
"ASN00066037","2018-07-15","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  188",",,a","   45",",,a",,,,,,,,,,,"  109","H,,S"
"ASN00066037","2018-07-16","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  190",",,a","   42",",,a",,,,,,,,,,,"  132","H,,S"
"ASN00066037","2018-07-17","-33.9465","151.1731","6.0","SYDNEY AIRPORT AMO, AS","    0",",,a",,,"  235",",,a","   85",",,a",,,,,,,,,,,"  175","H,,S"
