"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00033002","2018-06-10","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  269",",,a","  133",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-11","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  279",",,a","  136",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-12","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  277",",,a","  131",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-13","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  274",",,a","  130",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-14","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  279",",,a","  131",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-15","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  279",",,a","  130",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-16","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  264",",,a","  162",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-17","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  250",",,a","  135",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-18","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  253",",,a","  133",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-19","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  240",",,a","   35",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-20","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  235",",,a","   43",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-21","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  240",",,a","   71",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-22","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  261",",,a","  113",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-23","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  259",",,a","  139",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-24","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  257",",,a","  137",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-25","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  253",",,a","  130",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-26","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  243",",,a","  166",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-27","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  249",",,a","  166",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-28","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  261",",,a","  155",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-29","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  267",",,a","  163",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-06-30","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  277",",,a","  157",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-07-01","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  249",",,a","  189",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-07-02","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","   16",",,a","  249",",,a","  193",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-07-03","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    2",",,a","  274",",,a","  141",",,a",,,,,,,,,,,,,,
"ASN00033002","2018-07-04","-19.6169","147.3758","10.0","AYR DPI RESEARCH STATION, AS","    0",",,a","  263",",,a","  134",",,a",,,,,,,,,,,,,,
