"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN12","SN12_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX12","SX12_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX33","SX33_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00129430","2018-07-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  328",",,7","  211",",,7",,,,,,,"   69",",,7,0800",,,,,,,"  250",",,7","  378",",,7","  244",",,7,0800",,,,,"  272",",,7","  272",",,7","  272",",,7","  222",",,7",,,"  428",",,7","  383",",,7","  322",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  246",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  194",",,7",,,,,,,"   43",",,7,0800",,,,,,,"  217",",,7","  283",",,7","  217",",,7,0800",,,,,"  233",",,7","  228",",,7","  244",",,7","  239",",,7",,,"  317",",,7","  289",",,7","  289",",,7","  244",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-07","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  117",",,7",,,,,,,"   86",",,7,0800",,,,,,,"  156",",,7","  322",",,7","  156",",,7,0800",,,,,"  178",",,7","  189",",,7","  211",",,7","  217",",,7",,,"  317",",,7","  300",",,7","  267",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-08","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  250",",,7","  117",",,7",,,,,,,"   74",",,7,0800",,,,,,,"  167",",,7","  322",",,7","  161",",,7,0800",,,,,"  194",",,7","  200",",,7","  211",",,7","  200",",,7",,,"  367",",,7","  322",",,7","  267",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-09","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  161",",,7",,,,,,,"   64",",,7,0800",,,,,,,"  172",",,7","  361",",,7","  211",",,7,0800",,,,,"  206",",,7","  200",",,7","  222",",,7","  200",",,7",,,"  417",",,7","  356",",,7","  289",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-10","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  306",",,7","  211",",,7",,,,,,,"   58",",,7,0800",,,,,,,"  217",",I,7","  372",",,7","  233",",,7,0800",,,,,"  244",",,7","  228",",,7","  239",",,7","  200",",,7",,,"  400",",,7","  361",",,7","  300",",,7","  217",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-11","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","  124",",,7,0800","    0",",,7,0800","    0",",,7,0800","  317",",,7","  156",",,7",,,,,,,"   76",",,7,0800",,,,,,,"  189",",,7","  194",",I,7","  194",",,7,0800",,,,,"  206",",,7","  211",",,7","  239",",,7","  222",",,7",,,"  394",",,7","  344",",,7","  289",",,7","  233",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-12","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  278",",,7","  156",",,7",,,,,,,"   46",",,7,0800",,,,,,,"  194",",,7","  350",",,7","  200",",,7,0800",,,,,"  217",",,7","  206",",,7","  211",",,7","  222",",,7",,,"  389",",,7","  339",",,7","  283",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-13","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  289",",,7","  161",",,7",,,,,,,"   66",",,7,0800",,,,,,,"  206",",,7","  356",",,7","  200",",,7,0800",,,,,"  233",",,7","  222",",,7","  250",",,7","  222",",,7",,,"  417",",,7","  361",",,7","  294",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-14","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  172",",,7",,,,,,,"   61",",,7,0800",,,,,,,"  206",",,7","  361",",,7","  194",",,7,0800",,,,,"  239",",,7","  228",",,7","  267",",,7","  222",",,7",,,"  422",",,7","  367",",,7","  294",",,7","  228",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-15","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    5",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  194",",,7",,,,,,,"   33",",,7,0800",,,,,,,"  222",",,7","  306",",,7","  217",",,7,0800",,,,,"  244",",,7","  244",",,7","  256",",,7","  222",",,7",,,"  361",",,7","  311",",,7","  272",",,7","  222",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-16","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  217",",,7",,,,,,,"   36",",,7,0800",,,,,,,"  239",",,7","  356",",,7","  233",",,7,0800",,,,,"  244",",,7","  244",",,7","  267",",,7","  217",",,7",,,"  383",",,7","  350",",,7","  294",",,7","  228",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-17","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","   18",",,7,0800","    0",",,7,0800","    0",",,7,0800","  300",",,7","  167",",,7",,,,,,,"   64",",,7,0800",,,,,,,"  222",",,7","  367",",,7","  194",",,7,0800",,,,,"  239",",,7","  244",",,7","  261",",,7","  217",",,7",,,"  406",",,7","  367",",,7","  300",",,7","  239",",,7",,,,,,,,,,,,,,
"USC00129430","2018-07-18","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    0",",,7,0800","    0",",,7,0800","    0",",,7,0800","  283",",,7","  106",",,7",,,,,,,"   71",",,7,0800",,,,,,,"  167",",,7","  350",",,7","  156",",,7,0800",,,,,"  211",",,7","  211",",,7","  244",",,7","  217",",,7",,,"  389",",,7","  350",",,7","  294",",,7","  222",",,7",,,,,,,,,,,,,,
