"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00438169","2018-06-21","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  100",",,7",,,,,"  128",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-22","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","   61",",,7",,,,,"  106",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-23","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  106",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-24","44.6122","-72.0481","457.2","SUTTON, VT US","   20",",,7,0700","    0",",,7,0700","    0",",,7,0700","  178",",,7","  106",",,7",,,,,"  117",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-06-25","44.6122","-72.0481","457.2","SUTTON, VT US","   15",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","  106",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-26","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  194",",,7","   72",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-27","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  100",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-06-28","44.6122","-72.0481","457.2","SUTTON, VT US","  178",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  111",",,7",,,,,"  150",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-06-29","44.6122","-72.0481","457.2","SUTTON, VT US","  114",",,7,0700","    0",",,7,0700","    0",",,7,0700","  200",",,7","  150",",,7",,,,,"  172",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-06-30","44.6122","-72.0481","457.2","SUTTON, VT US","   99",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  167",",,7",,,,,"  172",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-07-01","44.6122","-72.0481","457.2","SUTTON, VT US","  127",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  172",",,7",,,,,"  200",",,7,0700","    1",",,7","    1",",,7",,,,,,,,
"USC00438169","2018-07-02","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  200",",,7",,,,,"  206",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-07-03","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  206",",,7",,,,,"  222",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-04","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  161",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-05","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  178",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-06","44.6122","-72.0481","457.2","SUTTON, VT US","   33",",,7,0700","    0",",,7,0700","    0",",,7,0700","  322",",,7","  211",",,7",,,,,"  217",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-07-07","44.6122","-72.0481","457.2","SUTTON, VT US","   71",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","   78",",,7",,,,,"  100",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-08","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  228",",,7","  100",",,7",,,,,"  122",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-09","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  117",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-10","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  156",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-11","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  122",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-12","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","   94",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-13","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  111",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-14","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  139",",,7",,,,,"  144",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-15","44.6122","-72.0481","457.2","SUTTON, VT US","   10",",,7,0700","    0",",,7,0700","    0",",,7,0700","  189",",,7","  144",",,7",,,,,"  172",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-07-16","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  139",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-17","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  161",",,7",,,,,"  211",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-07-18","44.6122","-72.0481","457.2","SUTTON, VT US","  170",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  106",",,7",,,,,"  117",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-19","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  211",",,7","   72",",,7",,,,,"  106",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-20","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  106",",,7",,,,,"  122",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-21","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  122",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-22","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  117",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-23","44.6122","-72.0481","457.2","SUTTON, VT US","   69",",,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","  150",",,7",,,,,"  200",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-24","44.6122","-72.0481","457.2","SUTTON, VT US","   81",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  183",",,7",,,,,"  200",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-25","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  200",",,7",,,,,"  211",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-07-26","44.6122","-72.0481","457.2","SUTTON, VT US","  338",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  189",",,7",,,,,"  189",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-07-27","44.6122","-72.0481","457.2","SUTTON, VT US","   38",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","  161",",,7",,,,,"  178",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-07-28","44.6122","-72.0481","457.2","SUTTON, VT US","   36",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  167",",,7",,,,,"  178",",,7,0700","    1",",,7","    1",",,7",,,,,,,,
"USC00438169","2018-07-29","44.6122","-72.0481","457.2","SUTTON, VT US","  104",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  133",",,7",,,,,"  144",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-30","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  117",",,7",,,,,"  133",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-07-31","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  133",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-01","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  156",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-02","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","  183",",,7",,,,,"  200",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-03","44.6122","-72.0481","457.2","SUTTON, VT US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  183",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-04","44.6122","-72.0481","457.2","SUTTON, VT US","  107",",,7,0700","    0",",,7,0700","    0",",,7,0700","  239",",,7","  183",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-05","44.6122","-72.0481","457.2","SUTTON, VT US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","  150",",,7",,,,,"  178",",,7,0700","    1",",,7",,,,,,,,,,
"USC00438169","2018-08-06","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  172",",,7",,,,,"  194",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00438169","2018-08-07","44.6122","-72.0481","457.2","SUTTON, VT US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  300",",,7","  194",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,
"USC00438169","2018-08-08","44.6122","-72.0481","457.2","SUTTON, VT US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  172",",,7",,,,,"  194",",,7,0700","    1",",,7",,,,,,,,,,
