"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00047085","2018-05-11","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  217",",,7","   22",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-12","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  150",",,7","   39",",,7",,,,,,,,,"  100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-13","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  194",",,7","   50",",,7",,,,,,,,,"   94",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-14","39.8053","-120.4719","1478.3","PORTOLA, CA US","   25",",,7,0800","    0",",,7","    0",",,7","  200",",,7","   39",",,7",,,,,,,,,"  100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-15","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  106",",,7","   17",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-16","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  100",",,7","   11",",,7",,,,,,,,,"   83",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-17","39.8053","-120.4719","1478.3","PORTOLA, CA US","   89",",,7,0800","    0",",,7","    0",",,7","   89",",,7","    6",",,7",,,,,,,,,"   83",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-18","39.8053","-120.4719","1478.3","PORTOLA, CA US","   64",",,7,0800","    0",",,7","    0",",,7","  128",",,7","   50",",,7",,,,,,,,,"   61",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-19","39.8053","-120.4719","1478.3","PORTOLA, CA US","    5",",,7,0800","    0",",,7","    0",",,7","  194",",,7","   39",",,7",,,,,,,,,"  161",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-20","39.8053","-120.4719","1478.3","PORTOLA, CA US","    5",",,7,0800","    0",",,7","    0",",,7","  222",",,7","   33",",,7",,,,,,,,,"  139",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-21","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  211",",,7","   28",",,7",,,,,,,,,"   78",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-22","39.8053","-120.4719","1478.3","PORTOLA, CA US","    5",",,7,0800","    0",",,7","    0",",,7","  217",",,7","   44",",,7",,,,,,,,,"  100",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-23","39.8053","-120.4719","1478.3","PORTOLA, CA US","   10",",,7,0800","    0",",,7","    0",",,7","  222",",,7","   94",",,7",,,,,,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-24","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  206",",,7","   33",",,7",,,,,,,,,"  117",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-25","39.8053","-120.4719","1478.3","PORTOLA, CA US","  246",",,7,0800","    0",",,7","    0",",,7",,,,,,,,,,,,,"   83",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-26","39.8053","-120.4719","1478.3","PORTOLA, CA US","   30",",,7,0800","    0",",,7","    0",",,7","  128",",,7","   56",",,7",,,,,,,,,"   72",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-27","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0","T,,7,0800","    0",",,7","    0",",,7","  133",",,7","   28",",,7",,,,,,,,,"  111",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
"USC00047085","2018-05-28","39.8053","-120.4719","1478.3","PORTOLA, CA US","    0",",,7,0800","    0",",,7","    0",",,7","  211",",,7","   39",",,7",,,,,,,,,"  122",",,7,0800",,,,,,,,,,,,,,,,,,,,,,,,
