"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USW00093009","2018-07-06","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","    0","T,,W,","    0",",,W","    0",",,W","  244",",,W","   22",",,W","   22",",,W",,,,,,,,,,,,,,,,,,,"  360",",,W","  350",",,W","   81",",,W","  130",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00093009","2018-07-07","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","   51",",,W,","    0",",,W","    0",",,W","  256",",,W","   28",",,W","   22",",,W",,,,,,,,,,,,,,,,,,,"  140",",,W","  140",",,W","   72",",,W","  125",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00093009","2018-07-08","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","   76",",,W,","    0",",,W","    0",",,W","  250",",,W","   39",",,W","   26",",,W",,,,,,,,,,,,,,,,,,,"  110",",,W","   80",",,W","   76",",,W","  134",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00093009","2018-07-09","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","    0",",,W,","    0",",,W","    0",",,W","  244",",,W","   33",",,W","   24",",,W",,,,,,,,,,,,,,,,,,,"  170",",,W","  170",",,W","   81",",,W","  130",",,W",,,,,,,,,,,,,,,,,,,,
"USW00093009","2018-07-10","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","   15",",,W,","    0",",,W","    0",",,W","  250",",,W","   50",",,W","   31",",,W",,,,,,,,,,,,,,,,,,,"  360",",,W","  360",",,W","   94",",,W","  130",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00093009","2018-07-11","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","    0","T,,W,","    0",",,W","    0",",,W","  250",",,W","   56",",,W","   28",",,W",,,,,,,,,,,,,,,,,,,"  360",",,W","  360",",,W","   98",",,W","  148",",,W",,,,,,,,,,,,,,,,,,,,
"USW00093009","2018-07-12","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","   89",",,W,","    0",",,W","    0",",,W","  200",",,W","   56",",,W","   26",",,W",,,,,,,,,,,,,,,,,,,"  200",",,W","   20",",,W","   72",",,W","   98",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00093009","2018-07-13","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","    0","T,,W,","    0",",,W","    0",",,W","  217",",,W","   28",",,W","   17",",,W",,,,,,,,,,,,,,,,,,,"   10",",,W","   20",",,W","   94",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,
"USW00093009","2018-07-14","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","    0",",,W,","    0",",,W","    0",",,W","  256",",,W","   67",",,W","   20",",,W",,,,,,,,,,,,,,,,,,,"  350",",,W","  360",",,W","   67",",,W","  116",",,W",,,,,,,,,,,,,,,,,,,,
"USW00093009","2018-07-15","39.22917","-106.31694","3027.3","LEADVILLE LAKE CO AIRPORT, CO US","   46",",,W,","    0",",,W","    0",",,W","  194",",,W","   72",",,W","   30",",,W",,,,,,,,,,,,,,,,,,,"  190",",,W","  170",",,W","   89",",,W","  116",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
