"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00014848","2018-07-19","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  300",",,W","  144",",,W",,,,,"   44",",,W",,,,,,,,,,,,,"  218","H,,S",,,,,,,"  170",",,W","  170",",,W",,,,,,,"   94",",,W","  134",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-20","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","  455",",,W,2400","    0",",,W","    0",",,W","  289",",,W","  194",",,W",,,,,"   51",",,W",,,,,,,,,,,,,"  238","H,,S",,,,,,,"  130",",,W","  160",",,W",,,,,,,"  130",",,W","  170",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-21","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","  173",",,W,2400","    0",",,W","    0",",,W","  233",",,W","  194",",,W",,,,,"   32",",,W",,,,,,,,,,,,,"  206","H,,S",,,,,,,"  330",",,W","  340",",,W",,,,,,,"   76",",,W","   98",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-22","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   66",",,W,2400","    0",",,W","    0",",,W","  261",",,W","  183",",,W",,,,,"   40",",,W",,,,,,,,,,,,,"  211","H,,S",,,,,,,"   20",",,W","   20",",,W",,,,,,,"   81",",,W","  121",",,W",,,"    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-23","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    3",",,W,2400","    0",",,W","    0",",,W","  244",",,W","  183",",,W",,,,,"   28",",,W",,,,,,,,,,,,,"  203","H,,S",,,,,,,"  310",",,W","  310",",,W",,,,,,,"   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-24","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0","T,,W,2400","    0",",,W","    0",",,W","  272",",,W","  183",",,W",,,,,"   28",",,W",,,,,,,,,,,,,"  220","H,,S",,,,,,,"  320",",,W","  350",",,W",,,,,,,"   63",",,W","  116",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-25","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  278",",,W","  172",",,W",,,,,"   23",",,W",,,,,,,,,,,,,"  226","H,,S",,,,,,,"  310",",,W","  350",",,W",,,,,,,"   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-26","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  256",",,W","  183",",,W",,,,,"   39",",,W",,,,,,,,,,,,,"  217","H,,S",,,,,,,"  310",",,W","  310",",,W",,,,,,,"   76",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-27","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","   10",",,W,2400","    0",",,W","    0",",,W","  228",",,W","  150",",,W",,,,,"   34",",,W",,,,,,,,,,,,,"  197","H,,S",,,,,,,"  320",",,W","  290",",,W",,,,,,,"   81",",,W","  116",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014848","2018-07-28","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","    0",",,W,2400","    0",",,W","    0",",,W","  250",",,W","  133",",,W",,,,,"   22",",,W",,,,,,,,,,,,,"  190","H,,S",,,,,,,"  290",",,W","  310",",,W",,,,,,,"   72",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
