"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00141383","2018-06-26","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  150",",,7",,,,,,,"   53",",,7,0700",,,,,,,"  161",",,7","  294",",,7","  161",",,7,0700","   90",",,7",,,,,,,,,,,,,,
"USC00141383","2018-06-27","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","   18",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  156",",,7",,,,,,,"   64",",,7,0700",,,,,,,"  189",",,7","  394",",,7","  189",",,7,0700","   63",",,7","    1",",,7","    1",",,7",,,,,,,,,,
"USC00141383","2018-06-28","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  394",",,7","  189",",,7",,,,,,,"  109",",,7,0700",,,,,,,"  222",",,7","  394",",,7","  217",",,7,0700","  124",",,7","    1",",,7",,,,,,,,,,,,
"USC00141383","2018-06-29","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  378",",,7","  211",",,7",,,,,,,"  173",",,7,0700",,,,,,,,,,,"  261",",,7,0700","  340",",,7",,,,,,,,,,,,,,
"USC00141383","2018-06-30","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  217",",,7",,,,,,,"   81",",,7,0700",,,,,,,,,,,"  217",",,7,0700","  225",",,7",,,,,,,,,,,,,,
"USC00141383","2018-07-01","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","  150",",,7,0700","    0",",,7,0700","    0",",,7,0700","  333",",,7","  156",",,7",,,,,,,"   61",",,7,0700",,,,,,,"  172",",,7","  356",",,7","  156",",,7,0700","  420",",,7",,,"    1",",,7",,,,,,,,,,
"USC00141383","2018-07-02","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  156",",,7",,,,,,,"   69",",,7,0700",,,,,,,"  172",",,7","  356",",,7","  161",",,7,0700","   61",",,7",,,,,,,,,,,,,,
"USC00141383","2018-07-03","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  161",",,7",,,,,,,"   89",",,7,0700",,,,,,,"  206",",,7","  356",",,7","  233",",,7,0700","  238",",,7","    1",",,7",,,,,,,,,,,,
"USC00141383","2018-07-04","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  356",",,7","  228",",,7",,,,,,,,,,,,,,,,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,
"USC00141383","2018-07-05","38.7978","-99.723","650.7","CEDAR BLUFF DAM, KS US","   10",",,7,0700","    0",",,7,0700","    0",",,7,0700","  367",",,7","  206",",,7",,,,,,,"  241",",,7,0700",,,,,,,"  222",",,7","  350",",,7","  206",",,7,0700","  465",",,7",,,,,,,,,,,,,,
