"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"CA00701LEEH","2017-03-09","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0","T,,C","  630",",,C","  -32",",,C","  -79",",,C",,,,,"  -56",",,C"
"CA00701LEEH","2017-03-10","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  630",",,C","  -75",",,C"," -194",",,C",,,,," -135",",,C"
"CA00701LEEH","2017-03-11","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  630",",,C"," -179",",,C"," -261",",,C",,,,," -220",",,C"
"CA00701LEEH","2017-03-12","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0","T,,C","  630",",,C"," -111",",,C"," -202",",,C",,,,," -157",",,C"
"CA00701LEEH","2017-03-13","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  630",",,C","  -56",",,C"," -195",",,C",,,,," -126",",,C"
"CA00701LEEH","2017-03-14","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA",,,,,"  630",",,C","  -58",",,C"," -164",",,C",,,,," -111",",,C"
"CA00701LEEH","2017-03-15","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA",,,,,"  770",",,C","  -32",",,C"," -101",",,C",,,,,"  -67",",,C"
"CA00701LEEH","2017-03-16","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0","T,,C","  760",",,C","  -60",",,C"," -119",",,C",,,,,"  -90",",,C"
"CA00701LEEH","2017-03-17","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  760",",,C","   14",",,C"," -228",",,C",,,,," -107",",,C"
"CA00701LEEH","2017-03-18","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  750",",,C","   45",",,C"," -213",",,C",,,,,"  -84",",,C"
"CA00701LEEH","2017-03-19","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  740",",,C","   75",",,C"," -178",",,C",,,,,"  -52",",,C"
"CA00701LEEH","2017-03-20","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  730",",,C","   49",",,C"," -152",",,C",,,,,"  -52",",,C"
"CA00701LEEH","2017-03-21","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA",,,,,"  720",",,C","  106",",,C","  -53",",,C",,,,,"   27",",,C"
"CA00701LEEH","2017-03-22","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  680",",,C","  -76",",,C"," -170",",,C",,,,," -123",",,C"
"CA00701LEEH","2017-03-23","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  670",",,C","   -8",",,C"," -208",",,C",,,,," -108",",,C"
"CA00701LEEH","2017-03-24","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    5",",,C","    5",",,C","  670",",,C","  -10",",,C"," -104",",,C",,,,,"  -57",",,C"
"CA00701LEEH","2017-03-25","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  680",",,C","   34",",,C","  -61",",,C",,,,,"  -14",",,C"
"CA00701LEEH","2017-03-26","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0","T,,C","  680",",,C","   40",",,C"," -164",",,C",,,,,"  -62",",,C"
"CA00701LEEH","2017-03-27","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   90",",,C","    0",",,C","  680",",,C","    2",",,C","  -29",",,C",,,,,"  -14",",,C"
"CA00701LEEH","2017-03-28","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   51",",,C","    0","T,,C","  680",",,C","   40",",,C","   -9",",,C",,,,,"   16",",,C"
"CA00701LEEH","2017-03-29","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0",",,C","  680",",,C","   30",",,C","  -15",",,C",,,,,"    8",",,C"
"CA00701LEEH","2017-03-30","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  670",",,C","   50",",,C","  -54",",,C",,,,,"   -2",",,C"
"CA00701LEEH","2017-03-31","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0","T,,C","  660",",,C","   58",",,C","  -87",",,C",,,,,"  -15",",,C"
"CA00701LEEH","2017-04-01","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   20",",,C","    0",",,C","  650",",,C","   25",",,C","  -26",",,C",,,,,"   -1",",,C"
"CA00701LEEH","2017-04-02","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  640",",,C","   68",",,C","  -79",",,C",,,,,"   -6",",,C"
"CA00701LEEH","2017-04-03","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  620",",,C","   77",",,C","  -79",",,C",,,,,"   -1",",,C"
"CA00701LEEH","2017-04-04","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  206",",,C","   60",",,C","  580",",,C","   45",",,C","  -36",",,C",,,,,"    5",",,C"
"CA00701LEEH","2017-04-05","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   52",",,C","    0","T,,C","  640",",,C","   35",",,C","   -9",",,C",,,,,"   13",",,C"
"CA00701LEEH","2017-04-06","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  435",",,C","    0",",,C","  640",",,C","   47",",,C","  -30",",,C",,,,,"    9",",,C"
"CA00701LEEH","2017-04-07","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   92",",,C","    0","T,,C","  570",",,C","   45",",,C","   12",",,C",,,,,"   29",",,C"
"CA00701LEEH","2017-04-08","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0","T,,C","    0",",,C","  560",",,C","   43",",,C","   -4",",,C",,,,,"   20",",,C"
"CA00701LEEH","2017-04-09","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   70",",,C","    0",",,C","  530",",,C","   88",",,C","  -41",",,C",,,,,"   24",",,C"
"CA00701LEEH","2017-04-10","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   40",",,C","    0",",,C","  480",",,C","  172",",,C","    0",",,C",,,,,"   86",",,C"
"CA00701LEEH","2017-04-11","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   68",",,C","    0",",,C","  380",",,C","   60",",,C","   10",",,C",,,,,"   35",",,C"
"CA00701LEEH","2017-04-12","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   10",",,C","    0",",,C","  360",",,C","   48",",,C","   -2",",,C",,,,,"   23",",,C"
"CA00701LEEH","2017-04-13","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  320",",,C","  110",",,C","    4",",,C",,,,,"   57",",,C"
"CA00701LEEH","2017-04-14","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","  270",",,C","  106",",,C","  -55",",,C",,,,,"   26",",,C"
"CA00701LEEH","2017-04-15","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   26",",,C","    0",",,C","  230",",,C","  130",",,C","  -43",",,C",,,,,"   44",",,C"
"CA00701LEEH","2017-04-16","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   92",",,C","    0",",,C","  170",",,C","  106",",,C","   19",",,C",,,,,"   63",",,C"
"CA00701LEEH","2017-04-17","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA",,,,,"  100",",,C","   45",",,C","   -1",",,C",,,,,"   22",",,C"
"CA00701LEEH","2017-04-18","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C",,,"   67",",,C","  -41",",,C",,,,,"   13",",,C"
"CA00701LEEH","2017-04-19","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  145",",,C","    0",",,C","   70",",,C","   83",",,C","  -18",",,C",,,,,"   33",",,C"
"CA00701LEEH","2017-04-20","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","   40",",,C","   96",",,C","   17",",,C",,,,,"   57",",,C"
"CA00701LEEH","2017-04-21","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  136",",,C","    0",",,C","   20",",,C","   35",",,C","   16",",,C",,,,,"   26",",,C"
"CA00701LEEH","2017-04-22","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   25",",,C","    0",",,C","    0","T,,C","   65",",,C","   11",",,C",,,,,"   38",",,C"
"CA00701LEEH","2017-04-23","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   14",",,C","    0",",,C","    0",",,C","  129",",,C","  -36",",,C",,,,,"   47",",,C"
"CA00701LEEH","2017-04-24","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","    0",",,C","   64",",,C","  -56",",,C",,,,,"    4",",,C"
"CA00701LEEH","2017-04-25","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  100",",,C","    0",",,C","    0",",,C","  125",",,C","  -49",",,C",,,,,"   38",",,C"
"CA00701LEEH","2017-04-26","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    5",",,C","    0",",,C","    0",",,C","  111",",,C","   38",",,C",,,,,"   75",",,C"
"CA00701LEEH","2017-04-27","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    4",",,C","    0",",,C","    0",",,C","  167",",,C","   82",",,C",,,,,"  125",",,C"
"CA00701LEEH","2017-04-28","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","    0",",,C","  204",",,C","   54",",,C",,,,,"  129",",,C"
"CA00701LEEH","2017-04-29","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","    0",",,C","    0",",,C","    0",",,C","  171",",,C","   30",",,C",,,,,"  101",",,C"
"CA00701LEEH","2017-04-30","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  115",",,C","    0",",,C","    0",",,C","  108",",,C","   -2",",,C",,,,,"   53",",,C"
"CA00701LEEH","2017-05-01","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","  396",",,C","    0",",,C","    0",",,C","   55",",,C","   19",",,C",,,,,"   37",",,C"
"CA00701LEEH","2017-05-02","46.8667","-72.4","160.0","LAC AUX SABLES, QC CA","   70",",,C","    0",",,C","    0",",,C","  122",",,C","   36",",,C",,,,,"   79",",,C"
