"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00361751","2018-05-03","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","   39",",,7",,,,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-04","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","  119",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  144",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-05","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   51",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","   33",",,7",,,,,,,,,"   33",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-06","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   33",",,7",,,,,,,,,"  111",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-07","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  161",",,7","   78",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-08","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  206",",,7","   61",",,7",,,,,,,,,"   67",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-09","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","   67",",,7",,,,,,,,,"   78",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-10","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   20",",,7,0700","    0",",,7,0700","    0",",,7,0700","  267",",,7","   78",",,7",,,,,,,,,"  139",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-11","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   18",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","   83",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-12","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","  137",",,7,0700","    0",",,7,0700","    0",",,7,0700","  161",",,7","   89",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-13","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   56",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   89",",,7",,,,,,,,,"  111",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-14","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   94",",,7,0700","    0",",,7,0700","    0",",,7,0700","  222",",,7","   72",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-15","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   15",",,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","  128",",,7",,,,,,,,,"  133",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-16","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","  117",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  117",",,7",,,,,,,,,"  122",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-17","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    3",",,7,0700","    0",",,7,0700","    0",",,7,0700","  200",",,7","  122",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-18","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","  133",",,7",,,,,,,,,"  133",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-19","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   38",",,7,0700","    0",",,7,0700","    0",",,7,0700","  256",",,7","  106",",,7",,,,,,,,,"  106",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-20","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   69",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  100",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-21","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","   89",",,7",,,,,,,,,"  100",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-22","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   28",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  100",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-23","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   58",",,7,0700","    0",",,7,0700","    0",",,7,0700","  228",",,7","  122",",,7",,,,,,,,,"  122",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-24","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","   67",",,7",,,,,,,,,"   72",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-25","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","   72",",,7",,,,,,,,,"   89",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-26","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  289",",,7","   83",",,7",,,,,,,,,"  111",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-27","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    5",",,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  111",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-28","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  278",",,7","  139",",,7",,,,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-29","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  144",",,7",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-30","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  306",",,7","  150",",,7",,,,,,,,,"  161",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-05-31","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","   23",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  161",",,7",,,,,,,,,"  194",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-06-01","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","  193",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  172",",,7",,,,,,,,,"  189",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-06-02","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  217",",,7","  167",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,
"USC00361751","2018-06-03","41.35579","-79.21723","442.0","COOKSBURG 2 NW, PA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","  144",",,7",,,,,,,,,"  167",",,7,0700",,,,,,,,,,,,,,
