"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00129670","2018-03-04","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   78",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,"  -17",",,7,0800",,,"   50",",,7","   -6",",,7","  106",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-05","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   72",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,"  -17",",,7,0800",,,"   44",",,7","   22",",,7","   89",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-06","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","   13",",,7,0800","    0",",,7,","    0",",,7,0800","   50",",,7","  -17",",,7",,,,,,,,,,,,,,,,,,,,,"    0",",,7,0800",,,"   44",",,7","   22",",,7","   67",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-07","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    8",",,7,0800","    5",",,7,","    0",",,7,0800","   78",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,"  -22",",,7,0800",,,"   44",",,7","   22",",,7","   67",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-08","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   11",",,7","  -50",",,7",,,,,,,,,,,,,,,,,,,,,"  -50",",,7,0800",,,"   33",",,7","   17",",,7","   56",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-09","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   -6",",,7","  -83",",,7",,,,,,,,,,,,,,,,,,,,,"  -78",",,7,0800",,,"   33",",,7","   17",",,7","   44",",,7","   17",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-10","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   39",",,7","  -78",",,7",,,,,,,,,,,,,,,,,,,,,"  -17",",,7,0800",,,"   33",",,7","   11",",,7","   67",",,7","   39",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-11","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   50",",,7","  -28",",,7",,,,,,,,,,,,,,,,,,,,,"   -6",",,7,0800",,,"   33",",,7","   11",",,7","   72",",,7","   50",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-12","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   50",",,7","  -50",",,7",,,,,,,,,,,,,,,,,,,,,"  -22",",,7,0800",,,"   33",",,7","   17",",,7","   72",",,7","   67",",,7",,,,,,,,,,,,,,,,,,,,
"USC00129670","2018-03-13","41.0267","-86.5866","210.3","WINAMAC 2 SSE, IN US","    0",",,7,0800","    0",",,7,","    0",",,7,0800","   56",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,,"  -33",",,7,0800",,,"   33",",,7","   17",",,7","   56",",,7","   33",",,7",,,,,,,,,,,,,,,,,,,,
