"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00317813","2018-03-26","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  156",",,7","   39",",,7",,,,,"  128",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-03-27","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  128",",,7","   28",",,7",,,,,"  106",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-03-28","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  222",",,7","   39",",,7",,,,,"  178",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-03-29","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  206",",,7","  100",",,7",,,,,"  172",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-03-30","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  189",",,7","  150",",,7",,,,,"  161",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-03-31","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  172",",,7","   89",",,7",,,,,"  150",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-01","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  217",",,7","   39",",,7",,,,,"  178",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-02","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  217",",,7","  111",",,7",,,,,"  183",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-03","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  217",",,7","  150",",,7",,,,,"  194",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-04","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  217",",,7","  167",",,7",,,,,"  194",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-05","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  211",",,7","   50",",,7",,,,,"  178",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-06","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","    0",",,7,1800",,,,,"  194",",,7","   39",",,7",,,,,"  172",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-07","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","  163",",,7,1800",,,,,"  206",",,7","  156",",S,7",,,,,"  161",",,7,1800",,,,,,,,,,,,,,,,
"USC00317813","2018-04-08","33.9283","-78.3894","6.1","SHALLOTTE AG, NC US","  122",",,7,1800",,,,,"  161",",,7","   17",",,7",,,,,"  117",",,7,1800",,,,,,,,,,,,,,,,
