"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN33","SN33_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX33","SX33_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00415013","2017-02-02","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  194",",,7","  -28",",,7",,,,,,,,,"  -28",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-03","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  100",",,7","  -44",",,7",,,,,,,,,"  -44",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-04","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","   83",",,7","  -44",",,7",,,,,,,,,"   17",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-05","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  117",",,7","  -39",",,7",,,,,,,,,"    0",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-06","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  256",",,7","    0",",,7",,,,,,,,,"   22",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-07","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  250",",,7","   22",",,7",,,,,,,,,"   61",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-08","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  239",",,7","   61",",,7",,,,,,,,,"  100",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-09","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  261",",,7","    0",",,7",,,,,,,,,"    0",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-10","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  217",",,7","    0",",,7",,,,,,,,,"   33",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00415013","2017-02-11","32.7228","-101.9456","903.7","LAMESA 1 SSE, TX US","    0",",,7,0600","    0",",,7","    0",",,7","  294",",,7","   33",",,7",,,,,,,,,"   39",",,7,0600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
