"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00116753","2018-04-02","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   -6",",,7","  -83",",,7",,,,,"  -72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-03","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   72",",,7","  -83",",,7",,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-04","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   56",",,7","  -44",",,7",,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-05","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   22",",,7","  -50",",,7",,,,,"   17",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-06","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   33",",,7","    0",",,7",,,,,"   11",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-07","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   11",",,7","  -61",",,7",,,,,"  -33",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-08","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   67",",,7","  -61",",,7",,,,,"  -44",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-09","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   61",",,7","  -83",",,7",,,,,"  -11",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-10","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   33",",,7","  -33",",,7",,,,,"  -22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-11","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   83",",,7","  -22",",,7",,,,,"   22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-12","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  206",",,7","   22",",,7",,,,,"  133",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-13","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  222",",,7","   61",",,7",,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-14","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  183",",,7","   33",",,7",,,,,"   33",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-15","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   56",",,7","   17",",,7",,,,,"   22",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-16","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   22",",,7","  -33",",,7",,,,,"  -33",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-17","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"    6",",,7","  -33",",,7",,,,,"  -11",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-18","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   67",",,7","  -17",",,7",,,,,"    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-19","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"   22",",,7","  -17",",,7",,,,,"    0",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-20","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  128",",,7","  -44",",,7",,,,,"  -17",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-21","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  172",",,7","  -17",",,7",,,,,"   56",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-22","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  150",",,7","   56",",,7",,,,,"   61",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-23","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  194",",,7","   56",",,7",,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-24","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  217",",,7","   72",",,7",,,,,"  106",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-25","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  239",",,7","   61",",,7",,,,,"   67",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-26","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  183",",,7","  -11",",,7",,,,,"   39",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-27","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  206",",,7","   39",",,7",,,,,"   83",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-28","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  211",",,7","   -6",",,7",,,,,"   33",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-29","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  150",",,7","  -28",",,7",,,,,"   17",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-04-30","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  189",",,7","   17",",,7",,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-01","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  278",",,7","   72",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-02","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  294",",,7","  150",",,7",,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-03","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  306",",,7","  161",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-04","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  239",",,7","  161",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-05","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  244",",,7","  100",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-06","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  289",",,7","  117",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-07","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  267",",,7","   78",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-08","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  256",",,7","  111",",,7",,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-09","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  294",",,7","  144",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-10","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  294",",,7","  128",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-11","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  283",",,7","   94",",,7",,,,,"  100",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-12","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  189",",,7","   72",",,7",,,,,"   72",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-13","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  139",",,7","   72",",,7",,,,,"   94",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-14","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  189",",,7","   94",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-15","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  306",",,7","  172",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-16","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  222",",,7","   94",",,7",,,,,"  122",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-17","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  272",",,7","  117",",,7",,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-18","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  278",",,7","  133",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-19","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  250",",,7","  144",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-20","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  283",",,7","  111",",,7",,,,,"  111",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-21","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  183",",,7","  111",",,7",,,,,"  122",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-22","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  239",",,7","  122",",,7",,,,,"  167",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-23","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  233",",,7","  122",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-24","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  256",",,7","  133",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-25","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  311",",,7","  172",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-26","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  311",",,7","  172",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-27","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  322",",,7","  172",",,7",,,,,"  233",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-28","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  356",",,7","  200",",,7",,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-29","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  339",",,7","  211",",,7",,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-30","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  306",",,7","  206",",,7",,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-05-31","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  300",",,7","  183",",,7",,,,,"  222",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-01","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  317",",,7","  189",",,7",,,,,"  228",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-02","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  306",",,7","  117",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-03","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  267",",,7","  139",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-04","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  261",",,7","  111",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-05","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  267",",,7","  150",",,7",,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-06","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  306",",,7","  111",",,7",,,,,"  139",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-07","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  294",",,7","  139",",,7",,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-08","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  317",",,7","  139",",,7",,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-09","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  250",",,7","  144",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-10","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  283",",,7","  172",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-11","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  217",",,7","  172",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-12","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  211",",,7","  178",",,7",,,,,"  206",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-13","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  267",",,7","  200",",,7",,,,,"  217",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-14","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  267",",,7","  150",",,7",,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-15","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  250",",,7","  178",",,7",,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-16","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  317",",,7","  178",",,7",,,,,"  239",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-17","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  333",",,7","  239",",,7",,,,,"  261",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
"USC00116753","2018-06-18","41.3503","-89.1072","189.0","PERU, IL US",,,,,,,"  328",",,7","  233",",,7",,,,,"  294",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,
