"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00093950","2018-06-03","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  306",",,W","  150",",,W","   37",",,W",,,,,,,,,,,"   10",",,W","  360",",,W","   72",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-04","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    8",",,W,2400","    0",",,H","    0",",,H","  289",",,W","  128",",,W","   13",",,W",,,,,,,,,,,"  110",",,W","  120",",,W","   45",",,W","   72",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-05","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  322",",,W","  161",",,W","   17",",,W",,,,,,,,,,,"  140",",,W",,,"   27",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-06","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  211",",,W","   20",",,W",,,,,,,,,,,"  160",",,W","  140",",,W","   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-07","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","   15",",,W,2400","    0",",,H","    0",",,H","  267",",,W","  194",",,W","   27",",,W",,,,,,,,,,,"  360",",,W","  350",",,W","  107",",,W","  161",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-08","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  339",",,W","  194",",,W","   28",",,W",,,,,,,,,,,"  210",",,W","  210",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-09","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  194",",,W","   29",",,W",,,,,,,,,,,"  210",",,W","  230",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-10","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  228",",,W","   34",",,W",,,,,,,,,,,"  220",",,W","  220",",,W","   76",",,W","  103",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-11","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  244",",,W","   35",",,W",,,,,,,,,,,"  200",",,W","  180",",,W","   67",",,W","  107",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-12","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","   15",",,W,2400","    0",",,H","    0",",,H","  294",",,W","  200",",,W","   26",",,W",,,,,,,,,,,"  210",",,W","  190",",,W","   94",",,W","  139",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-13","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  217",",,W","   26",",,W",,,,,,,,,,,"  220",",,W","  210",",,W","   72",",,W","   98",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-14","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  356",",,W","  244",",,W","   30",",,W",,,,,,,,,,,"  220",",,W","  210",",,W","   72",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-15","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  350",",,W","  244",",,W","   34",",,W",,,,,,,,,,,"  200",",,W","  200",",,W","   67",",,W","   94",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-16","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  250",",,W","   34",",,W",,,,,,,,,,,"  200",",,W","  210",",,W","   72",",,W","  112",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-17","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  344",",,W","  244",",,W","   32",",,W",,,,,,,,,,,"  180",",,W","  170",",,W","   63",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-18","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0",",,W,2400","    0",",,H","    0",",,H","  333",",,W","  250",",,W","   31",",,W",,,,,,,,,,,"  160",",,W","  160",",,W","   58",",,W","   98",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-19","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0","T,,W,2400","    0",",,H","    0",",,H","  311",",,W","  228",",,W","   25",",,W",,,,,,,,,,,"  170",",,W","  180",",,W","   54",",,W","   76",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-20","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","  180",",,W,2400","    0",",,H","    0",",,H","  317",",,W","  211",",,W","   24",",,W",,,,,,,,,,,"  230",",,W","  240",",,W","  125",",,W","  215",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093950","2018-06-21","34.8822","-95.783","234.7","MCALESTER REGIONAL AIRPORT, OK US","    0","T,,W,2400","    0",",,H","    0",",,H","  317",",,W","  200",",,W","   25",",,W",,,,,,,,,,,"  290",",,W","  290",",,W","   63",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
