"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT12","WT12_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"FMW00040504","2018-07-06","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","    0",",,W","    0",",,W","    0",",,W","  323",",,W","  239",",,W",,,,,"   18",",,W",,,,,,,,,,,,,,,,,"   40",",,W",,,,,,,,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-07","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","   38",",,W","    0",",,W","    0",",,W","  317",",,W","  239",",,W",,,,,"   17",",,W",,,,,,,,,,,,,,,,,"  140",",,W",,,,,,,,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-08","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","  610",",,W","    0",",,W","    0",",,W","  311",",,W","  239",",,W",,,,,"   14",",,W",,,,,,,,,,,,,,,,,"  150",",,W",,,,,,,,,,,"   26",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-09","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","  185",",,W","    0",",,W","    0",",,W","  317",",,W","  242",",,W",,,,,"   13",",,W",,,,,,,,,,,,,,,,,"  120",",,W",,,,,,,,,,,"   26",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-10","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","  490",",,W","    0",",,W","    0",",,W","  261",",,W","  239",",,W",,,,,"   15",",,W",,,,,,,,,,,,,,,,,"   80",",,W",,,,,,,,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-11","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","   15",",,W","    0",",,W","    0",",,W","  316",",,W","  233",",,W",,,,,"   15",",,W",,,,,,,,,,,,,,,,,"   70",",,W",,,,,,,,,,,"   41",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-12","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","   97",",,W","    0",",,W","    0",",,W","  317",",,W","  239",",,W",,,,,"   14",",,W",,,,,,,,,,,,,,,,,"  100",",,W",,,,,,,,,,,"   36",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-13","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","  127",",,W","    0",",,W","    0",",,W","  317",",,W","  239",",,W",,,,,"   15",",,W",,,,,,,,,,,,,,,,,"   60",",,W",,,,,,,,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-14","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","  114",",,W","    0",",,W","    0",",,W","  317",",,W","  258",",,W",,,,,"   16",",,W",,,,,,,,,,,,,,,,,"   60",",,W",,,,,,,,,,,"   31",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
"FMW00040504","2018-07-15","6.9667","158.2167","36.6","POHNPEI WEATHER SERVICE OFFICE, FM FM","   58",",,W","    0",",,W","    0",",,W","  294",",,W","  250",",,W",,,,,"   11",",,W",,,,,,,,,,,,,,,,,"  110",",,W",,,,,,,,,,,"   21",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,
