"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USW00094895","2018-08-03","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  183",",,W","   20",",,W",,,,,,,,,,,,,,,,,,,"  250",",,W","  260",",,W","   67",",,W","   98",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-04","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0","T,,W",,,,,"  322",",,W","  194",",,W","   18",",,W",,,,,,,,,,,,,,,,,,,"  270",",,W","  270",",,W","   72",",,W","  107",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-05","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  317",",,W","  228",",,W","   30",",,W",,,,,,,,,,,,,,,,,,,"  210",",,W","  200",",,W","   67",",,W","   89",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-06","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   91",",,W",,,,,"  322",",,W","  211",",,W","   41",",,W",,,,,,,,,,,,,,,,,,,"  310",",,W","  310",",,W","  116",",,W","  161",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-07","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  119",",,W",,,,,"  278",",,W","  211",",,W","   25",",,W",,,,,,,,,,,,,,,,,,,"  310",",,W","  230",",,W","   58",",,W","   81",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-08","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","  112",",,W",,,,,"  294",",,W","  200",",,W","   21",",,W",,,,,,,,,,,,,,,,,,,"  340",",,W","  340",",,W","  103",",,W","  143",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094895","2018-08-09","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  294",",,W","  172",",,W","   21",",,W",,,,,,,,,,,,,,,,,,,"  280",",,W","  280",",,W","   58",",,W","   81",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094895","2018-08-10","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  300",",,W","  217",",,W","   21",",,W",,,,,,,,,,,,,,,,,,,"  260",",,W","  260",",,W","   63",",,W","   81",",,W",,,,,,,,,,,,,,,,,,,,
"USW00094895","2018-08-11","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","    0",",,W",,,,,"  289",",,W","  183",",,W","   23",",,W",,,,,,,,,,,,,,,,,,,"   50",",,W","   50",",,W","   63",",,W","   81",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,
"USW00094895","2018-08-12","40.23417","-85.39361","285.6","MUNCIE DELAWARE CO AIRPORT, IN US","   10",",,W",,,,,"  294",",,W","  172",",,W","    8",",,W",,,,,,,,,,,,,,,,,,,"   50",",,W","   40",",,W","   45",",,W","   54",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
