"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00053006","2018-06-26","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  356",",,7","  111",",,7","  206",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-06-27","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  350",",,7","  133",",,7","  206",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-06-28","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  389",",,7","  156",",,7","  244",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-06-29","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  339",",,7","  150",",,7","  189",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-06-30","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","  102",",,7,2400","    0",",,7,2400","    0",",,7","  228",",,7","  111",",,7","  111",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-01","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","   83",",,7","  161",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-02","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","  122",",,7","  250",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-03","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  339",",,7","  139",",,7","  200",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-04","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    8",",,7,2400","    0",",,7,2400","    0",",,7","  322",",,7","  156",",,7","  183",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-05","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  300",",,7","  161",",,7","  172",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-06","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","  133",",,7","  194",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-07","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  361",",,7","  150",",,7","  250",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-08","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    8",",,7,2400","    0",",,7,2400","    0",",,7","  372",",,7","  161",",,7","  211",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-07-09","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  339",",,7","  167",",,7","  194",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-07-10","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  367",",,7","  144",",,7","  200",",,7,2400",,,,,,,,,,,,,,,,
