"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USC00047109","2018-06-01","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  283",",,7","   44",",,7",,,,,"  283",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-02","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  356",",,7","   89",",,7",,,,,"  356",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-03","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  356",",,7","  117",",,7",,,,,"  328",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-04","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  356",",,7","  100",",,7",,,,,"  283",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-05","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  283",",,7","   67",",,7",,,,,"  267",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-06","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  272",",,7","   78",",,7",,,,,"  272",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-07","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  278",",,7","   78",",,7",,,,,"  278",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-08","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  278",",,7","  128",",,7",,,,,"  278",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-09","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  278",",,7","  133",",,7",,,,,"  194",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-10","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  239",",,7","   39",",,7",,,,,"  239",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-11","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  300",",,7","   56",",,7",,,,,"  300",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-12","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  344",",,7","  144",",,7",,,,,"  344",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-13","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  344",",,7","  106",",,7",,,,,"  344",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-14","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  344",",,7","  100",",,7",,,,,"  328",",,7,1600",,,,,"    1",",,7",,,,,,,,,,,,
"USC00047109","2018-06-15","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  328",",,7","  100",",,7",,,,,"  261",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-16","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  328",",,7","  100",",,7",,,,,"  300",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-17","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  300",",,7","   78",",,7",,,,,"  267",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-18","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  300",",,7","   89",",,7",,,,,"  289",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-19","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  328",",,7","  106",",,7",,,,,"  328",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-20","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  333",",,7","  117",",,7",,,,,"  289",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-21","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  339",",,7","   78",",,7",,,,,"  339",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-22","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  367",",,7","  100",",,7",,,,,"  367",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-23","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  372",",,7","  117",",,7",,,,,"  372",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-24","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  372",",,7","  128",",,7",,,,,"  367",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-25","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  367",",,7","  106",",,7",,,,,"  328",",,7,1600",,,,,,,,,,,,,,,,,,
"USC00047109","2018-06-26","39.3619","-123.1286","310.3","POTTER VALLEY POWERHOUSE, CA US","    0",",,7,1600",,,,,"  333",",,7","  100",",,7",,,,,"  333",",,7,1600",,,,,,,,,,,,,,,,,,
